Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Heretic,https://web3.career/partner-talent-and-recruiting-heretic-fund/26558,"Partner, Talent and Recruiting",$51k - $70k,recruiter:non tech,13m
Binance,https://web3.career/secops-lead-binance/26557,SecOps Lead,$95k - $200k,lead:remote,13m
Binance,https://web3.career/marketing-community-management-internship-binance/26556,Marketing & Community Management Internship,,community manager:non tech:intern:entry level:marketing,13m
Polygon,https://web3.career/country-manager-growth-marketing-uk-polygon/26555,"Country Manager, Growth& Marketing : UK",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-vietnam-polygon/26554,"Country Manager, Growth & Marketing: Vietnam",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-turkey-polygon/26553,"Country Manager, Growth & Marketing : Turkey",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-thailand-polygon/26552,"Country Manager, Growth & Marketing : Thailand",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-spain-polygon/26551,"Country Manager, Growth & Marketing : Spain",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-singapore-polygon/26550,"Country Manager, Growth & Marketing : Singapore",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-netherland-polygon/26549,"Country Manager, Growth & Marketing : Netherland",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-indonesia-polygon/26548,"Country Manager, Growth & Marketing : Indonesia",$48k - $120k,marketing:non tech:ethereum,22m
Polygon,https://web3.career/country-manager-growth-marketing-germany-polygon/26547,"Country Manager, Growth & Marketing : Germany",$48k - $120k,marketing:non tech:ethereum,22m
Raydium,https://web3.career/content-writer-raydium/26546,Content Writer,$25k - $105k,copywriting:non tech:remote:solana:ethereum,33m
Boson Protocol,https://web3.career/partnerships-manager-bosonprotocol/26544,Partnerships Manager,$40k - $180k,sales:non tech:nft,1h
Gate.io,https://web3.career/lending-margin-content-writer-gate-io/26543,lending & margin content writer,$25k - $105k,copywriting:non tech:remote,1h
Polygon,https://web3.career/country-manager-south-korea-growth-marketing-polygon/26542,Country Manager South Korea :Growth & Marketing,$48k - $120k,marketing:non tech:ethereum,1h
Polygon,https://web3.career/country-manager-france-polygon/26541,Country Manager : France,$60k - $150k,ethereum,1h
Blockstream,https://web3.career/qt-engineer-blockstream/26540,Qt Engineer,$50k - $160k,dev:java:rust,2h
Menyala,https://web3.career/legal-counsel-menyala/26539,Legal Counsel,$24k - $140k,legal,3h
Rarify,https://web3.career/senior-solutions-engineer-rarify/26538,Senior Solutions Engineer,$65k - $150k,dev:senior:golang,3h
TaxBit,https://web3.career/lead-product-manager-public-sector-taxbit/26537,"Lead Product Manager, Public Sector",,lead:product manager:non tech,5h
Groma,https://web3.career/software-engineer-groma/26536,Software Engineer,$67k - $175k,dev:react:nextjs:node,5h
OKX,https://web3.career/data-analyst-okx/26535,Data Analyst,$36k - $85k,analyst:data science,5h
Stockbit,https://web3.career/backend-engineer-golang-blockchain-platform-stockbit/26534,Backend Engineer - Golang (Blockchain Platform),$33k - $160k,backend:dev:golang:blockchain,5h
Crypto Finance AG,https://web3.career/risk-management-officer-cryptofinanceag/26533,Risk Management Officer,$56k - $160k,remote,5h
Stockbit,https://web3.career/ui-ux-designer-crypto-stockbit/26532,UI/UX Designer - Crypto,$30k - $79k,design:non tech:crypto,5h
Crypto.com,https://web3.career/director-hr-business-partner-global-fintech-start-up-crypto-com/26531,"Director, HR Business Partner - Global Fintech Start-up",,executive:finance:hr:non tech,5h
HoneyBricks,https://web3.career/senior-frontend-engineer-react-crypto-fintech-real-estate-honeybricks/26530,Senior Frontend Engineer - React (Crypto/ FinTech/ Real Estate),,dev:finance:front end:javascript:react,5h
Crypto.com,https://web3.career/legal-counsel-employment-bg-crypto-com/26529,Legal Counsel - Employment (BG),$24k - $140k,legal,5h
Crypto.com,https://web3.career/crm-project-associate-global-fintech-startup-crypto-com/26528,CRM Project Associate - Global Fintech Startup,,crm:finance:nft,5h
Fynd,https://web3.career/community-manager-gaming-and-nft-platform-fynd/26527,Community Manager - Gaming and NFT Platform,$65k - $80k,community manager:non tech:game dev:nft,6h
"Palm NFT Studio, Inc.",https://web3.career/account-manager-studio-palmnftstudioinc/26526,Account Manager (Studio),,account manager:nft,6h
Satoshis Games,https://web3.career/senior-rust-developer-satoshis-games/26525,Senior Rust Developer,$70k - $90k,dev:rust:senior:solana:node,6h
Polygon,https://web3.career/web3-integration-expert-polygon-edge-polygon/26524,Web3 Integration Expert - Polygon Edge,$60k - $145k,remote:ethereum:node,7h
Figure,https://web3.career/marketplace-registered-success-associates-figure/26518,Marketplace Registered Success Associates,$50k - $150k,,9h
