Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Figment,https://web3.career/hr-director-figment/22816,"New York,
United States",HR Director,,executive:hr:non tech,2mo
Chainalysis,https://web3.career/solutions-architect-miami-spanish-speaking-chainalysis/22815,"Miami,
United States","Solutions Architect, Miami (Spanish-speaking)",$67k - $180k,architecture,2mo
Chainalysis,https://web3.career/solutions-architect-chicago-chainalysis/22814,"Chicago,
United States","Solutions Architect, Chicago",$67k - $180k,architecture,2mo
CANDY,https://web3.career/graphic-designer-candy/22813,"London,
United Kingdom",Graphic Designer,$60k - $150k,design:non tech:nft,2mo
CANDY,https://web3.career/creative-director-candy/22812,"London,
United Kingdom",Creative Director,$70k - $180k,executive,2mo
CANDY,https://web3.career/3d-generalist-candy/22811,"London,
United Kingdom",3D Generalist,$13k - $50k,vfx,2mo
CANDY,https://web3.career/account-manager-brand-partnerships-sports-candy/22810,"London,
United Kingdom",Account Manager - Brand Partnerships (Sports),,sales:non tech:account manager:marketing,2mo
Sygnum Bank AG,https://web3.career/relationship-manager-eam-mfo-suisse-romandie-market-sygnum/22809,Switzerland,"Relationship Manager EAM & MFO, Suisse Romandie Market",$48k - $120k,marketing:non tech:ethereum,2mo
Serotonin,https://web3.career/community-associate-serotonin/22808,Remote,Community Associate,$40k - $101k,community manager:non tech:remote,2mo
Serotonin,https://web3.career/public-relations-director-serotonin/22807,Remote,Public Relations Director,$70k - $158k,marketing:non tech:executive:remote,2mo
Chainalysis,https://web3.career/solutions-architect-charlotte-chainalysis/22806,"Charlotte,
United States","Solutions Architect, Charlotte",$67k - $180k,architecture,2mo
Serotonin,https://web3.career/community-manager-serotonin/22805,Remote,Community Manager,$40k - $101k,community manager:non tech:remote,2mo
THIS IS! Digital Media Group,https://web3.career/frontend-developer-india-m-w-x-bangalore-remote-thisisdmg/22804,Remote,Frontend Developer (India | m/w/x | Bangalore / Remote),$22k - $120k,remote:dev:front end:javascript,2mo
Sygnum Bank AG,https://web3.career/public-relations-manger-sygnum/22803,Switzerland,Public Relations Manger,$45k - $130k,marketing:non tech,2mo
Kurtosis,https://web3.career/software-engineer-kurtosis/22802,"Seattle,
United States",Software Engineer,$73k - $200k,dev:react:solana:ethereum:golang,2mo
Fuel,https://web3.career/entrepreneur-in-residence-onfuel/22801,"Berlin,
Germany",Entrepreneur in Residence,$56k - $165k,remote:nft,2mo
Crystal Blockchain Analytics,https://web3.career/devops-linux-system-administrator-crystal-remote-crystal/22800,"Warsaw,
Poland",DevOps/Linux System Administrator - Crystal (Remote),,remote:devops:linux:sys admin:golang,2mo
DeFi Suisse AG,https://web3.career/senior-react-native-developer-80-100-m-f-diverse-defisuisse/22799,Switzerland,"Senior React Native Developer (80-100%, m/f/diverse)",$65k - $200k,dev:react native:mobile:javascript:react,2mo
Stellar Development Foundation,https://web3.career/senior-engineering-manager-core-protocol-stellar/22798,"San Francisco,
United States","Senior Engineering Manager, Core Protocol",,executive:senior:rust,2mo
Stellar Development Foundation,https://web3.career/senior-engineering-manager-core-protocol-stellar/22797,"San Francisco,
United States","Senior Engineering Manager, Core Protocol",,executive:senior:rust,2mo
Stellar Development Foundation,https://web3.career/senior-engineering-manager-core-protocol-stellar/22796,"New York,
United States","Senior Engineering Manager, Core Protocol",,executive:senior:rust,2mo
Bittrex,https://web3.career/senior-ux-designer-bittrex/22793,"Washington,
United States",Senior UX Designer,$60k - $120k,design:non tech:senior,2mo
Sygnum Bank AG,https://web3.career/internship-it-infrastructure-services-6-months-sygnum/22792,Switzerland,Internship - IT Infrastructure & Services 6 months,,intern:entry level,2mo
BitSight,https://web3.career/sales-executive-cni-bitsight/22791,"Lisbon,
Portugal","Sales Executive, CNI",$40k - $150k,executive:sales:non tech:solidity,2mo
Solarisbank,https://web3.career/head-of-digital-assets-operations-solarisbank/22790,"Berlin,
Germany",Head Of Digital Assets Operations,$175k - $200k,executive:finance:operations:remote,2mo
Ripple,https://web3.career/sr-staff-user-research-ripple/22788,"San Francisco,
United States",Sr. Staff User Research,$78k - $200k,senior,2mo
Ripple,https://web3.career/sr-staff-product-designer-ripple/22787,"San Francisco,
United States",Sr. Staff Product Designer,$60k - $120k,design:non tech:senior,2mo
Ripple,https://web3.career/sr-product-designer-ripple/22786,"San Francisco,
United States",Sr. Product Designer,$60k - $120k,design:non tech:senior,2mo
Figment,https://web3.career/tech-support-lead-datahub-figment/22785,"Toronto,
Canada",Tech Support Lead - DataHub,,lead:customer support:solidity:javascript:golang,2mo
Minterest Finance,https://web3.career/senior-influencer-manager-nextleveldefi/22783,Remote,Senior Influencer Manager,$45k - $79k,senior:remote,2mo
Sygnum Bank AG,https://web3.career/senior-crypto-writer-and-editor-sygnum/22782,"Singapore,
Singapore",Senior crypto writer and editor,$90k - $110k,senior:crypto:ethereum,2mo
Binance,https://web3.career/ui-ux-designer-binance/22781,Remote,UI/UX Designer,$50k - $135k,design:non tech:remote,2mo
myTalenscout GmbH,https://web3.career/linux-crack-m-f-d-in-munich-wanted-for-web-3-0-infrastructure-mytalentscout/22780,Remote,Linux Crack (m/f/d) in Munich wanted for Web 3.0-Infrastructure!,$84k - $107k,linux:node:remote,2mo
Sygnum Bank AG,https://web3.career/business-management-intern-digital-assets-custody-decentralized-finance-defi-sygnum/22779,Switzerland,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,2mo
Nifty's Inc.,https://web3.career/ui-designer-niftysinc/22778,"Miami,
United States",UI Designer,$80k - $150k,design:non tech:ethereum:nft:javascript,2mo
