Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Coinbase,https://web3.career/scheduler-coinbase/2265,Scheduler,,,5mo
Coinbase,https://web3.career/sr-program-manager-customer-support-coinbase/2264,Sr. Program Manager - Customer Support,,customer support:executive:senior:remote,5mo
Coinbase,https://web3.career/quality-analyst-customer-experience-operations-coinbase/2263,"Quality Analyst, Customer Experience Operations",,analyst:customer support:operations,5mo
Coinbase,https://web3.career/quality-analyst-customer-experience-coinbase/2262,"Quality Analyst, Customer Experience",$40k - $95k,analyst:customer support:remote,5mo
Coinbase,https://web3.career/onboarding-analyst-coinbase/2261,Onboarding Analyst,$45k - $120k,analyst:remote,5mo
Coinbase,https://web3.career/l-d-specialist-lead-retail-coinbase/2260,"L&D Specialist/Lead, Retail",$60k - $200k,lead,5mo
Coinbase,https://web3.career/l-d-specialist-lead-retail-coinbase/2259,"L&D Specialist/Lead, Retail",$60k - $200k,lead,5mo
Coinbase,https://web3.career/l-d-specialist-lead-retail-coinbase/2258,"L&D Specialist/Lead, Retail",$95k - $200k,lead:remote,5mo
Coinbase,https://web3.career/l-d-specialist-lead-institutional-remote-usa-coinbase/2257,"L&D Specialist/Lead, Institutional (Remote - USA)",$95k - $200k,remote:lead,5mo
Coinbase,https://web3.career/institutional-support-analyst-coinbase/2256,Institutional Support Analyst,$40k - $95k,analyst:customer support:remote,5mo
Coinbase,https://web3.career/customer-support-analyst-wallet-and-vault-coinbase/2255,"Customer Support Analyst, Wallet and Vault",$15k - $95k,analyst:customer support,5mo
Coinbase,https://web3.career/customer-support-analyst-coinbase/2254,Customer Support Analyst,$15k - $95k,analyst:customer support,5mo
Coinbase,https://web3.career/senior-product-manager-coinbase/2253,Senior Product Manager,$80k - $150k,product manager:non tech:senior:remote,5mo
Coinbase,https://web3.career/director-product-coinbase/2252,"Director, Product",$79k - $200k,executive:remote,5mo
Coinbase,https://web3.career/senior-technical-recruiter-coinbase/2251,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:remote,5mo
Coinbase,https://web3.career/sw-engineer-hr-workday-functional-enterprise-apps-coinbase/2250,"SW Engineer, HR (Workday Functional), Enterprise Apps",$100k - $150k,dev:hr:non tech:remote,5mo
Coinbase,https://web3.career/sr-system-analyst-anaplan-finance-platform-coinbase/2249,"Sr. System Analyst (Anaplan), Finance Platform",,analyst:finance:senior:remote,5mo
Coinbase,https://web3.career/senior-engineering-manager-crypto-asset-addition-coinbase/2248,"Senior Engineering Manager, Crypto Asset Addition",$46k - $109k,executive:senior:crypto:remote,5mo
Coinbase,https://web3.career/senior-site-reliability-engineer-coinbase/2247,Senior Site Reliability Engineer,$150k - $200k,dev:sys admin:senior:ruby:remote,5mo
Coinbase,https://web3.career/staff-frontend-engineer-coinbase/2246,Staff Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,5mo
Coinbase,https://web3.career/software-engineer-coinbase/2245,Software Engineer,$65k - $120k,dev:ethereum:ruby:golang:remote,5mo
Coinbase,https://web3.career/senior-backend-engineer-coinbase/2244,Senior Backend Engineer,$70k - $200k,backend:dev:senior:ethereum:ruby,5mo
Coinbase,https://web3.career/senior-staff-engineer-coinbase/2243,Senior Staff Engineer,$85k - $200k,dev:senior:remote,5mo
Coinbase,https://web3.career/staff-product-designer-coinbase/2242,Staff Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/senior-manager-product-design-coinbase/2241,"Senior Manager, Product Design",$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,https://web3.career/product-designer-coinbase/2240,Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/senior-machine-learning-engineer-coinbase/2239,Senior Machine Learning Engineer,,dev:machine learning:senior:remote,5mo
Coinbase,https://web3.career/staff-product-designer-coinbase/2238,Staff Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/staff-product-designer-coinbase/2237,Staff Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/staff-product-designer-coinbase/2236,Staff Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/staff-product-designer-coinbase/2235,Staff Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,https://web3.career/staff-software-engineer-coinbase/2234,Staff Software Engineer,$65k - $120k,dev:ethereum:ruby:golang:remote,5mo
Coinbase,https://web3.career/group-product-manager-coinbase/2233,Group Product Manager,$115k - $175k,product manager:non tech:remote,5mo
Coinbase,https://web3.career/prime-account-manager-apac-coinbase/2232,"Prime Account Manager, APAC",,account manager:remote,5mo
Coinbase,https://web3.career/engineering-manager-backend-coinbase/2231,"Engineering Manager, Backend",$140k - $180k,executive:backend:remote,5mo
