Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
the NFT Company,https://web3.career/project-manager-the-nft-company/19311,"Los Angeles,
United States",Project Manager,$0k,project manager:non tech:nft,3mo
Hedge Labs,https://web3.career/defi-community-growth-marketing-hedge-labs/19310,"Miami,
United States",DeFi Community Growth Marketing,$60k - $140k,community manager:non tech:marketing:defi:solana,3mo
Celo Foundation,https://web3.career/philippines-ecosystem-lead-celofoundation/19308,Remote,Philippines Ecosystem Lead,$95k - $200k,lead:remote,3mo
OG NFT,https://web3.career/co-founder-web3-software-engineer-og-nft/19307,United States,Co-founder & web3 Software Engineer,$0k,dev:executive:web3js:solidity:nft,3mo
Gemini,https://web3.career/product-designer-design-gemini/19303,United States,"Product Designer, Design",$45k - $135k,design:non tech:javascript,3mo
Mycelium,https://web3.career/ux-designer-myc-xyz/19302,"Melbourne,
Australia",UX Designer,$80k - $150k,design:non tech:ethereum:node,3mo
BitGo,https://web3.career/senior-blockchain-engineer-customer-excellence-bitgo/19301,United States,Senior Blockchain Engineer - Customer Excellence,$80k - $200k,dev:senior:blockchain:react:javascript,3mo
BitGo,https://web3.career/senior-blockchain-engineer-customer-excellence-bitgo/19300,"Toronto,
Canada",Senior Blockchain Engineer - Customer Excellence,$80k - $200k,dev:senior:blockchain:react:javascript,3mo
Celo Foundation,https://web3.career/marcom-coordinator-celofoundation/19299,Remote,Marcom Coordinator,$56k - $160k,remote,3mo
Syndicate,https://web3.career/sr-solidity-engineer-syndicate-protocol/19298,United States,Sr. Solidity Engineer,$0k,dev:senior:solidity,3mo
Nuri,https://web3.career/senior-software-engineer-react-native-nuri/19296,"Berlin,
Germany",(Senior) Software Engineer - React Native,$65k - $200k,dev:react native:mobile:javascript:react,3mo
CryptoSlam,https://web3.career/marketing-manager-nfts-remote-cryptoslam/19295,Remote,Marketing Manager - NFTs (Remote),$25k - $120k,remote:marketing:non tech:nft,3mo
Binance,https://web3.career/translator-english-arabic-binance/19293,Remote,Translator (English/Arabic),,translator:remote,3mo
Founders Factory,https://web3.career/founder-ceo-project-lime-foundersfactory/19292,Remote,Founder/CEO - Project Lime,$79k - $200k,executive:remote,3mo
SALT,https://web3.career/product-manager-apis-saltlending/19291,"Chicago,
United States",Product Manager - APIs,$69k - $160k,product manager:non tech,3mo
Zigy,https://web3.career/backend-engineer-nft-backend-zigy-1/19290,"Delhi,
India",Backend Engineer (NFT + Backend),$7k - $9k,backend:dev:nft:react:react native,3mo
Hedge Labs,https://web3.career/smart-contract-software-engineer-rust-hedge-labs/19289,"Miami,
United States",Smart Contract Software Engineer (Rust),$120k - $200k,dev:rust:smart contract:web3js:solana,3mo
Sytac,https://web3.career/senior-devops-cloud-engineer-sytac/19287,"Amsterdam,
Netherlands",Senior DevOps Cloud Engineer,,cloud:devops:dev:senior,3mo
Sytac,https://web3.career/senior-data-engineer-sytac/19286,"Amsterdam,
Netherlands",Senior Data Engineer,$130k - $160k,data science:dev:senior:scala:golang,3mo
Jambb,https://web3.career/lead-full-stack-engineer-jambb/19284,"Boston,
United States",Lead Full Stack Engineer,$100k - $200k,dev:full stack:lead:react:solidity,3mo
Staking Rewards,https://web3.career/senior-cryptoasset-research-analyst-staking-rewards/19283,Remote,Senior Cryptoasset Research Analyst,,analyst:senior:remote,3mo
OpenSea,https://web3.career/learning-experience-designer-opensea/19282,Remote,Learning Experience Designer,$50k - $135k,design:non tech:remote,3mo
NetObjex,https://web3.career/blockchain-developer-netobjex-1/19281,India,Blockchain Developer,$0k,dev:blockchain:react:ethereum:java,3mo
Vendia,https://web3.career/senior-community-manager-vendia/19280,Remote,Senior Community Manager,,community manager:non tech:senior:remote,3mo
Okcoin,https://web3.career/quality-engineer-okcoin/19278,"San Francisco,
United States",Quality Engineer,$60k - $180k,dev,3mo
Celo Foundation,https://web3.career/sr-business-analyst-crypto-celofoundation/19277,Remote,Sr. Business Analyst - Crypto,,analyst:senior:crypto:remote,3mo
The TIE,https://web3.career/data-scientist-crypto-thetie/19276,"New York,
United States",Data Scientist (Crypto),$15k - $120k,data science:crypto,3mo
Passbase,https://web3.career/developer-relations-manager-passbase/19275,"Berlin,
Germany",Developer Relations Manager,,customer support:dev:remote,3mo
Cameo,https://web3.career/director-of-accounting-cameo/19274,"Chicago,
United States",Director of Accounting,$120k - $150k,accounting:executive,3mo
cLabs,https://web3.career/partner-engineering-lead-clabs/19272,Remote,Partner Engineering Lead,$95k - $200k,lead:remote,3mo
RECUR,https://web3.career/people-operations-business-partner-engineering-and-product-remote-recur/19271,"Boston,
United States",People Operations Business Partner - Engineering and Product (Remote),$80k - $110k,remote:operations,3mo
Bittrex,https://web3.career/senior-security-engineer-bittrex/19270,"Washington,
United States",Senior Security Engineer,$95k - $250k,dev:security:senior,3mo
Bittrex,https://web3.career/security-analyst-bittrex/19269,"Washington,
United States",Security Analyst,$60k - $185k,analyst:security,3mo
Celo Foundation,https://web3.career/argentina-ecosystem-lead-celofoundation/19268,Remote,Argentina Ecosystem Lead,$95k - $200k,lead:remote,3mo
Loaded Money,https://web3.career/marketing-brand-manager-fintech-defi-loadedmo/19267,"Chicago,
United States",Marketing & Brand Manager - FinTech & DeFi,$60k - $100k,marketing:non tech:finance:defi,3mo
