Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Binance,https://web3.career/junior-devops-engineer-intern-binance/12365,"Singapore,
Singapore",Junior DevOps Engineer (Intern),,devops:dev:intern:entry level:junior,5mo
QuickNode,https://web3.career/product-manager-quicknode/12364,Remote,Product Manager,$115k - $175k,product manager:non tech:remote,5mo
Kraken Digital Asset Exchange,https://web3.career/executive-assistant-people-experience-and-recruiting-kraken/12363,"London,
United Kingdom",Executive Assistant - People Experience and Recruiting,,executive:recruiter:non tech,5mo
Kraken Digital Asset Exchange,https://web3.career/program-manager-kraken/12362,United States,Program Manager,$70k - $180k,executive,5mo
Binance,https://web3.career/junior-code-review-engineer-front-end-binance/12361,"Singapore,
Singapore",Junior Code Review Engineer (Front-end),,dev:front end:junior:entry level,5mo
Binance,https://web3.career/junior-data-analyst-intern-binance/12360,"Singapore,
Singapore",Junior Data Analyst (Intern),,analyst:data science:intern:entry level:junior,5mo
Kraken Digital Asset Exchange,https://web3.career/product-marketing-manager-institutional-clients-kraken/12359,Remote,"Product Marketing Manager, Institutional Clients",$25k - $120k,marketing:non tech:remote,5mo
Kraken Digital Asset Exchange,https://web3.career/chief-of-staff-to-the-chief-people-officer-kraken/12357,United States,Chief of Staff to the Chief People Officer,,executive:recruiter:non tech,5mo
Blocknative,https://web3.career/product-marketing-director-blocknative/12356,Remote,Product Marketing Director,$70k - $158k,executive:marketing:non tech:nft:remote,5mo
Binance,https://web3.career/associate-director-launchpad-and-launchpool-binance/12355,South America or North America,Associate Director - LaunchPad and LaunchPool,$70k - $180k,executive,5mo
Web3 Foundation,https://web3.career/technical-grants-evaluator-web3-foundation/12352,"Zug,
Switzerland",Technical Grants Evaluator,$60k - $147k,javascript:rust,5mo
Binance,https://web3.career/junior-blockchain-security-engineer-binance/12351,"Singapore,
Singapore",Junior Blockchain Security Engineer,$45k - $180k,dev:junior:entry level:security:blockchain,5mo
AE Studio,https://web3.career/blockchain-developer-aestudio/12350,Brazil,Blockchain Developer,$50k - $130k,dev:blockchain:react:react native:solidity,5mo
Ledger,https://web3.career/crypto-talent-acquisition-manager-ledger/12349,"Paris,
France",Crypto* Talent Acquisition Manager,$30k - $50k,recruiter:non tech:crypto,5mo
QuickNode,https://web3.career/technical-writer-solana-quicknode/12347,Remote,Technical Writer: Solana,,analyst:solana:remote,5mo
Remote,https://web3.career/senior-manager-alternative-payments-remotecom/12344,"London,
United Kingdom","Senior Manager, Alternative Payments",$78k - $200k,senior,5mo
Sygnum Bank AG,https://web3.career/head-of-tokenization-sygnum/12343,Switzerland,Head of Tokenization,$70k - $180k,executive,5mo
MoneyClip.io,https://web3.career/graphic-designer-moneyclip-io/12341,"Toronto,
Canada",Graphic Designer,$50k - $150k,design:non tech,5mo
AccelOne,https://web3.career/full-stack-java-react-developer-accelone/12336,AR,Full Stack (Java + React) Developer,$48k - $145k,dev:full stack:java:javascript:react,5mo
Sygnum Bank AG,https://web3.career/site-reliability-engineering-lead-sygnum/12333,Switzerland,Site Reliability Engineering Lead,,lead:sys admin:ethereum:java,5mo
Infinite Capital,https://web3.career/growth-analyst-infinite-capital/12332,NY US,Growth Analyst,,analyst:marketing:non tech:ethereum:nft,5mo
Zilliqa,https://web3.career/head-of-investor-relations-zilliqa/12331,,Head of Investor Relations,$90k - $200k,executive:finance,5mo
Binance,https://web3.career/qa-manager-lead-binance/12330,New Zealand,QA Manager/ Lead,$100k - $180k,lead:quality assurance,5mo
Immunefi,https://web3.career/engineering-manager-immunefi/12329,"San Francisco,
United States",Engineering Manager,$70k - $180k,executive,5mo
Binance,https://web3.career/growth-product-manager-crm-cms-binance/12328,Asia,Growth Product Manager (CRM/CMS),,crm:marketing:non tech:product manager,5mo
Binance,https://web3.career/front-end-web-developer-intern-binance/12327,"Singapore,
Singapore",Front-end Web Developer Intern,$115k - $120k,dev:front end:intern:entry level,5mo
Zilliqa,https://web3.career/senior-compiler-engineer-zilliqa/12325,,Senior Compiler Engineer,$80k - $200k,dev:senior:solidity:scala,5mo
Dept,https://web3.career/crypto-fullstack-engineer-us-remote-dept/12324,,Crypto Fullstack Engineer - US Remote,$70k - $200k,remote:dev:full stack:crypto:react,5mo
Sygnum Bank AG,https://web3.career/blockchain-engineer-sygnum/12323,Switzerland,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:ethereum:node,5mo
Founders Factory,https://web3.career/founding-blockchain-engineer-temple-foundersfactory/12322,"London,
United Kingdom",Founding Blockchain Engineer - Temple,$40k - $125k,dev:blockchain:nft,5mo
OKEx,https://web3.career/graduate-hire-software-engineer-trading-service-okex/12321,"Hong Kong,
Hong Kong",(Graduate Hire) Software Engineer - Trading Service,$12k - $33k,dev:intern:entry level,5mo
OKEx,https://web3.career/graduate-hire-software-engineer-mobile-okex/12320,"Hong Kong,
Hong Kong",(Graduate Hire) Software Engineer - Mobile,$12k - $33k,dev:intern:entry level:mobile:java,5mo
OKEx,https://web3.career/graduate-hire-software-engineer-financial-product-okex/12319,"Hong Kong,
Hong Kong",(Graduate Hire) Software Engineer - Financial Product,$12k - $33k,dev:intern:entry level:finance:java,5mo
OKEx,https://web3.career/graduate-hire-product-associate-trading-product-okex/12318,"Hong Kong,
Hong Kong",(Graduate Hire) Product Associate - Trading Product,,intern:entry level,5mo
OKEx,https://web3.career/graduate-hire-product-associate-finance-okex/12317,"Hong Kong,
Hong Kong",(Graduate Hire) Product Associate - Finance,,intern:entry level:finance,5mo
