Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Okcoin,https://web3.career/mobile-marketing-manager-okcoin/24790,"San Francisco,
United States",Mobile Marketing Manager,,marketing:non tech:mobile,26d
Chainalysis,https://web3.career/customer-success-manager-singapore-chainalysis/24789,"Singapore,
Singapore","Customer Success Manager, Singapore",,sales:non tech:customer support,26d
Protocol Labs,https://web3.career/product-manager-pln-services-protocollabs/24786,,"Product Manager, PLN Services",$69k - $160k,product manager:non tech,26d
Binance,https://web3.career/hrbp-operations-binance/24785,"Singapore,
Singapore",HRBP - Operations,$60k - $200k,operations,26d
Build A Rocket Boy,https://web3.career/smart-contract-developer-blockchain-buildarocketboy/24784,"Edinburgh,
United Kingdom",Smart Contract Developer – Blockchain,$50k - $150k,dev:blockchain:smart contract:web3js:solidity,26d
RocketPower,https://web3.career/opensea-be-fullstack-engineer-rocketpower/24783,Slovenia,[Opensea] BE/Fullstack Engineer,$65k - $180k,dev:full stack,26d
Fair.xyz,https://web3.career/senior-product-designer-fairxyz/24782,"London,
United Kingdom",Senior Product Designer,$60k - $120k,design:non tech:senior:nft,26d
Callsign,https://web3.career/nft-tester-uae-callsign/24781,"Abu Dhabi,
United Arab Emirates",NFT Tester - UAE,$65k - $107k,nft:javascript:java,26d
Callsign,https://web3.career/nft-tester-uk-callsign/24780,"London,
United Kingdom",NFT Tester - UK,$65k - $107k,nft:javascript:java,26d
wappier,https://web3.career/product-marketing-manager-web3-nfts-remote-first-or-remote-option-wappier/24779,Greece,"Product Marketing Manager, web3 & NFTs (Remote-First or Remote Option)",$25k - $120k,remote:marketing:non tech:nft,26d
Tesseract,https://web3.career/head-of-crypto-tesseract/24778,"London,
United Kingdom",Head of Crypto,$50k - $158k,executive:crypto,26d
Crypto.com,https://web3.career/business-analyst-data-product-global-fintech-startup-crypto-com/24777,"Hong Kong,
Hong Kong","Business Analyst, Data Product - Global Fintech Startup",,analyst:finance,26d
Crypto.com,https://web3.career/senior-officer-contract-administration-legal-operations-sg-crypto-com/24776,"Singapore,
Singapore","Senior Officer, Contract Administration - Legal Operations (SG)",,legal:operations:senior:nft,26d
Crypto.com,https://web3.career/senior-officer-contract-administration-legal-operations-hk-crypto-com/24775,"Hong Kong,
Hong Kong","Senior Officer, Contract Administration - Legal Operations (HK)",,legal:operations:senior:nft,26d
Crypto.com,https://web3.career/crypto-trading-product-controller-avp-quant-trading-team-crypto-com/24774,"Hong Kong,
Hong Kong",Crypto Trading Product Controller (AVP) - Quant Trading Team,$24k - $140k,legal:crypto,26d
Crypto.com,https://web3.career/assistant-manager-legal-operations-and-knowledge-retention-hk-crypto-com/24773,"Hong Kong,
Hong Kong",Assistant Manager - Legal Operations and Knowledge Retention (HK),,marketing:non tech:product manager:legal:operations,26d
Crypto.com,https://web3.career/global-talent-acquisition-manager-uae-fintech-start-up-crypto-com/24772,United Arab Emirates,Global Talent Acquisition Manager (UAE) - Fintech Start-up,,finance:recruiter:non tech,26d
Crypto.com,https://web3.career/compliance-manager-director-malaysia-kl-crypto-com/24771,Malaysia,Compliance Manager / Director - Malaysia (KL),,compliance:executive,26d
Crypto.com,https://web3.career/data-engineer-backend-team-crypto-com/24770,,Data Engineer - Backend Team,$70k - $150k,backend:data science:dev:scala:java,26d
Crypto.com,https://web3.career/assistant-officer-company-secretary-sg-global-fintech-startup-crypto-com/24769,"Singapore,
Singapore","Assistant Officer, Company Secretary (SG) - Global Fintech Startup",$40k - $150k,finance,26d
Crypto.com,https://web3.career/compliance-officer-crypto-com/24768,Malta,Compliance Officer,,compliance,26d
Crypto.com,https://web3.career/senior-business-analyst-data-product-global-fintech-startup-crypto-com/24767,United States,"Senior Business Analyst, Data Product - Global Fintech Startup",,analyst:finance:senior,26d
Crypto.com,https://web3.career/data-scientist-growth-analytics-global-fintech-startup-crypto-com/24766,"Hong Kong,
Hong Kong","Data Scientist, Growth Analytics - Global Fintech startup",,stats:data science:finance:marketing:non tech,26d
Crypto.com,https://web3.career/strategy-director-operational-excellence-business-process-improvement-crypto-com/24765,"Hong Kong,
Hong Kong",Strategy Director (Operational Excellence & Business Process Improvement),$150k - $230k,executive:operations,26d
Crypto.com,https://web3.career/ux-researcher-global-fintech-startup-crypto-com/24764,"Singapore,
Singapore",UX Researcher - Global Fintech Startup,,finance:design:non tech,26d
Crypto.com,https://web3.career/information-security-compliance-manager-crypto-com/24763,Germany,Information Security Compliance Manager,,compliance:security:remote,26d
Crypto.com,https://web3.career/assistant-manager-legal-operations-and-knowledge-retention-sg-crypto-com/24762,"Singapore,
Singapore",Assistant Manager - Legal Operations and Knowledge Retention (SG),,marketing:non tech:product manager:legal:operations,26d
Crypto.com,https://web3.career/global-markets-compliance-officer-singapore-uae-crypto-com/24761,"Singapore,
Singapore",Global Markets Compliance Officer (Singapore/UAE),,compliance,26d
Crypto Finance AG,https://web3.career/golang-quant-developer-cryptofinanceag/24760,"Zurich,
Switzerland",Golang Quant Developer,$33k - $100k,dev:golang:java,26d
Crypto.com,https://web3.career/fraud-operations-manager-crypto-com/24759,"Miami,
United States",Fraud Operations Manager,,security:operations,26d
Brinc,https://web3.career/associate-program-manager-decentralized-finance-defi-accelerator-brinc/24758,"Hong Kong,
Hong Kong",Associate Program Manager - Decentralized Finance (DeFi) Accelerator,$40k - $140k,finance:executive:defi:nft,26d
Crypto.com,https://web3.career/executive-recruiting-coordinator-crypto-com/24757,United States,Executive Recruiting Coordinator,,executive:recruiter:non tech,26d
Crypto.com,https://web3.career/office-manager-turkey-crypto-com/24756,Turkey,Office Manager - Turkey,,,26d
Crypto.com,https://web3.career/data-privacy-manager-united-arab-emirates-uae-crypto-com/24755,United Arab Emirates,"Data Privacy Manager, United Arab Emirates (UAE)",,,26d
Crypto.com,https://web3.career/consumer-protection-officer-u-s-canada-crypto-com/24754,"Miami,
United States","Consumer Protection Officer, U.S. & Canada",,,26d
