Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Braintrust,https://web3.career/blockchain-engineer-remote-braintrust/21139,Blockchain Engineer - Remote,$70k - $190k,remote:dev:blockchain:ethereum:rust,2mo
Set Labs,https://web3.career/content-and-community-lead-setlabs/21138,Content and Community Lead,$40k - $65k,community manager:non tech:lead:ethereum,2mo
Ripple,https://web3.career/ripple-x-data-scientist-intern-summer-2022-intern-ripple/21137,Ripple X Data Scientist Intern (Summer 2022 Intern),,data science:intern:entry level:nft,2mo
RECUR,https://web3.career/production-coordinator-remote-recur/21136,Production Coordinator (Remote),$79k - $158k,remote:ethereum:nft,2mo
Crypto.com,https://web3.career/hr-manager-c-b-focus-crypto-com/21135,HR Manager (C&B focus),,c:c plus plus:hr:non tech:nft,2mo
æternity blockchain,https://web3.career/chief-marketing-officer-aeternity-blockchain/21134,Chief Marketing Officer,$0k,executive:marketing:non tech:remote,2mo
Ripple,https://web3.career/product-marketing-manager-central-bank-digital-currencies-cbdcs-ripple/21133,"Product Marketing Manager, Central Bank Digital Currencies (CBDCs)",$50k - $100k,finance:marketing:non tech,2mo
Boson Protocol,https://web3.career/delivery-lead-bosonprotocol/21132,Delivery Lead,$60k - $200k,lead,2mo
Sygnum Bank AG,https://web3.career/intern-site-reliability-engineering-sygnum/21131,Intern - Site Reliability Engineering,,intern:entry level:sys admin:java,2mo
Sygnum Bank AG,https://web3.career/junior-relationship-manager-eam-mfo-sygnum/21130,(Junior) Relationship Manager EAM & MFO,$40k - $67k,finance:junior:entry level:marketing:non tech,2mo
Movement Strategy,https://web3.career/senior-content-strategist-discord-movementstrategy/21129,"Senior Content Strategist, Discord",$90k - $200k,senior:nft,2mo
Applied Blockchain,https://web3.career/solution-architect-applied-blockchain/21128,Solution Architect,$0k,architecture:javascript:rust,2mo
Colonize Mars,https://web3.career/blockchain-developer-colonize-mars/21127,Blockchain Developer,$100k - $160k,dev:blockchain:react:solidity:solana,2mo
Cake DeFi,https://web3.career/software-engineer-javascript-cake-defi-1/21126,Software Engineer (Javascript),$56k - $160k,dev:javascript:react:react native:nextjs,2mo
Braintrust,https://web3.career/junior-front-end-engineer-remote-braintrust/21125,Junior Front End engineer (REMOTE),$22k - $120k,remote:dev:front end:junior:entry level,2mo
Crypto.com,https://web3.career/legal-counsel-litigation-eu-crypto-com/21124,"Legal Counsel, Litigation (EU)",$24k - $140k,legal,2mo
Okcoin,https://web3.career/social-media-representative-okcoin/21123,Social Media Representative,$33k - $85k,social media:non tech,2mo
CANDY,https://web3.career/marketing-highlight-assistant-producer-baseball-part-time-seasonal-candy/21122,Marketing Highlight Assistant Producer- Baseball (Part Time- Seasonal),,marketing:non tech:part time,2mo
Cake DeFi,https://web3.career/software-engineer-devops-cake-defi-1/21121,Software Engineer (DevOps),$70k - $180k,devops:dev,2mo
Cake DeFi,https://web3.career/senior-software-engineer-cake-defi-1/21120,Senior Software Engineer,$80k - $200k,dev:senior:javascript:node:rust,2mo
MoneyyApp,https://web3.career/blockchain-developer-intern-moneyyapp/21119,Blockchain Developer Intern,$3k - $4k,dev:intern:entry level:blockchain:solidity,2mo
Crypto.com,https://web3.career/site-reliability-engineer-global-fintech-startup-crypto-com/21118,Site Reliability Engineer - Global Fintech Startup,,dev:finance:sys admin:java,2mo
Crypto.com,https://web3.career/legal-counsel-litigation-eu-crypto-com/21117,"Legal Counsel, Litigation (EU)",$24k - $140k,legal,2mo
Crypto.com,https://web3.career/global-senior-recruiter-recruiter-fintech-start-up-crypto-com/21116,Global Senior Recruiter/ Recruiter- Fintech Start-up,,finance:recruiter:non tech:senior,2mo
Securrency,https://web3.career/blockchain-innovation-team-manager-securrency/21115,Blockchain Innovation Team Manager,$50k - $150k,blockchain,2mo
Crypto.com,https://web3.career/frontend-developer-price-page-pay-sg-crypto-com/21114,Frontend Developer (Price Page /Pay) - SG,$60k - $144k,dev:front end:nft:javascript:nextjs,2mo
Next Big Thing AG,https://web3.career/senior-sales-manager-european-market-nextbigthing/21113,Senior Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,2mo
Caiz Development GmbH,https://web3.career/chief-technology-officer-caiz-development/21112,Chief Technology Officer,$79k - $300k,executive:remote:cto,2mo
Sygnum Bank AG,https://web3.career/product-manager-digital-assets-custody-sygnum/21111,Product Manager – Digital Assets Custody,,finance:product manager:non tech:ethereum,2mo
Binance,https://web3.career/hr-administrator-binance/21110,HR Administrator,$60k - $150k,hr:non tech,2mo
Okcoin,https://web3.career/junior-finance-analyst-okcoin/21109,Junior Finance Analyst,,analyst:finance:junior:entry level,2mo
Colonize Mars,https://web3.career/blockchain-developer-gamefi-colonize-mars/21108,Blockchain Developer (GameFi),$100k - $130k,dev:blockchain:remote:game dev:metaverse,2mo
Qubit9 GmbH,https://web3.career/lead-developer-blockchain-m-f-d-qubit9/21107,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,2mo
Wirex Limited,https://web3.career/junior-android-developer-wirexlimited/21106,Junior Android Developer,,android:mobile:dev:junior:entry level,2mo
Boson Protocol,https://web3.career/business-operations-associate-contract-bosonprotocol/21105,Business Operations Associate (Contract),$60k - $200k,operations,2mo
