Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Stacked,https://web3.career/product-owner-stacked-invest/13098,Product Owner,$115k - $175k,product manager:non tech:remote,5mo
Stacked,https://web3.career/product-designer-stacked-invest/13097,Product Designer,$50k - $135k,design:non tech:remote,5mo
Metal,https://web3.career/devops-engineer-remote-metalpay/13096,DevOps Engineer (Remote),$95k - $180k,remote:devops:dev,5mo
OpenSea,https://web3.career/performance-marketing-lead-opensea/13095,Performance Marketing Lead,$50k - $120k,lead:marketing:non tech:nft:remote,5mo
Parity Technologies,https://web3.career/seo-manager-m-f-d-parity/13094,SEO Manager (m/f/d),,seo:non tech:remote,5mo
Parity Technologies,https://web3.career/paid-media-manager-m-f-d-parity/13093,Paid Media Manager (m/f/d),$56k - $160k,remote,5mo
Parity Technologies,https://web3.career/marketing-data-analyst-m-f-d-parity/13092,Marketing Data Analyst (m/f/d),,analyst:data science:marketing:non tech:remote,5mo
Parity Technologies,https://web3.career/email-marketing-manager-m-f-d-parity/13091,Email Marketing Manager (m/f/d),$25k - $120k,marketing:non tech:remote,5mo
Parity Technologies,https://web3.career/ecosystem-success-intern-m-f-d-parity/13090,Ecosystem Success Intern (m/f/d),$24k - $48k,intern:entry level:remote,5mo
Bitcoin Depot,https://web3.career/senior-integrated-communications-manager-bitcoindepot/13089,Senior Integrated Communications Manager,$46k - $109k,marketing:non tech:senior,5mo
Bitcoin Depot,https://web3.career/senior-creative-manager-bitcoindepot/13088,Senior Creative Manager,$78k - $200k,senior,5mo
Bitcoin Depot,https://web3.career/marketing-specialist-social-pr-influencers-bitcoindepot/13087,"Marketing Specialist – Social, PR & Influencers",$45k - $130k,marketing:non tech,5mo
Bitcoin Depot,https://web3.career/marketing-manager-paid-search-bitcoindepot/13086,Marketing Manager – Paid Search,$45k - $130k,marketing:non tech,5mo
Bitcoin Depot,https://web3.career/marketing-manager-customer-insights-bitcoindepot/13085,Marketing Manager - Customer Insights,$45k - $130k,marketing:non tech,5mo
SwissBorg,https://web3.career/fraud-data-analyst-remote-swissborg/13084,Fraud Data Analyst (Remote),$45k - $120k,remote:analyst:data science:security,5mo
Chainalysis,https://web3.career/account-executive-public-sector-nordics-chainalysis/13083,"Account Executive, Public Sector, Nordics",$70k - $180k,executive,5mo
Bitcoin Depot,https://web3.career/marketing-data-analyst-bitcoindepot/13082,Marketing Data Analyst,,analyst:data science:marketing:non tech,5mo
CoinDesk & TradeBlock Opportunities,https://web3.career/director-business-development-coindesk/13080,"Director, Business Development",$40k - $150k,sales:non tech:executive,5mo
Chainalysis,https://web3.career/account-executive-uk-i-chainalysis/13079,"Account Executive, UK/I",$70k - $180k,executive,5mo
Chainalysis,https://web3.career/account-executive-public-sector-benelux-chainalysis/13078,"Account Executive, Public Sector, Benelux",$70k - $180k,executive,5mo
OKEx,https://web3.career/manager-sr-manager-hr-business-partner-okex/13077,Manager/Sr. Manager - HR Business Partner,,hr:non tech:senior,5mo
OKEx,https://web3.career/manager-sr-manager-hr-business-partner-okex/13076,Manager/Sr. Manager - HR Business Partner,,hr:non tech:senior,5mo
Metareach,https://web3.career/chief-blockchain-officer-metareach/13075,Chief Blockchain Officer,$0k,executive:blockchain:ethereum:java:golang,5mo
Metareach,https://web3.career/game-developer-metareach/13074,Game Developer,$0k,dev:game dev,5mo
Metareach,https://web3.career/full-stack-web-developer-metareach/13073,Full-Stack Web Developer,$0k,dev:full stack:react:solidity:nft,5mo
Nuri,https://web3.career/strategy-operations-associate-nuri/13072,Strategy & Operations Associate,$80k - $110k,operations:remote,5mo
actus ag Steuerberatung,https://web3.career/software-engineer-3313237-software-engineer/13071,Software Engineer,$35k - $180k,dev:java:remote,5mo
Binance,https://web3.career/head-of-compliance-lithuania-binance/13070,Head of Compliance - Lithuania,,compliance:executive,5mo
Binance,https://web3.career/dispute-analyst-p2p-russian-speaker-binance/13069,Dispute Analyst - P2P (Russian Speaker),$40k - $120k,analyst,5mo
Hiro,https://web3.career/full-stack-engineer-growth-hiro/13068,"Full Stack Engineer, Growth",,dev:full stack:marketing:non tech:remote,5mo
Crypto.com,https://web3.career/software-testing-engineer-tw-crypto-com/13067,Software Testing Engineer-TW,$33k - $140k,dev:java,5mo
Crypto.com,https://web3.career/mobile-developer-android-aus-global-fintech-startup-crypto-com/13066,"Mobile Developer, Android (AUS) - Global Fintech Startup",,android:mobile:dev:finance:java,5mo
Crypto.com,https://web3.career/associate-strategy-new-ventures-cn-global-fintech-startup-crypto-com/13065,"Associate, Strategy & New Ventures (CN) - Global Fintech Startup",$40k - $150k,finance,5mo
Crypto.com,https://web3.career/penetration-tester-crypto-com/13064,Penetration Tester,,,5mo
Top Crypto,https://web3.career/product-designer-topcrypto/13063,Product Designer,$50k - $135k,design:non tech:remote,5mo
