Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Crypto.com,https://web3.career/senior-ux-researcher-global-fintech-firm-crypto-com/21307,"Singapore,
Singapore",Senior UX Researcher - Global Fintech Firm,,finance:senior:design:non tech,2mo
Crypto.com,https://web3.career/blockchain-security-researcher-confidential-computing-hk-crypto-com/21306,"Hong Kong,
Hong Kong","Blockchain Security Researcher, Confidential Computing (HK)",$150k - $185k,security:blockchain:nft:rust,2mo
Crypto.com,https://web3.career/trading-system-analytic-developer-support-asso-vp-global-fintech-crypto-com/21305,Remote,Trading System Analytic Developer/Support (Asso. - VP) - Global Fintech,,dev:finance:customer support:executive:remote,2mo
Crypto.com,https://web3.career/product-manager-global-fintech-startup-crypto-com/21304,United Kingdom,Product Manager - Global Fintech Startup,,finance:product manager:non tech,2mo
Crypto.com,https://web3.career/senior-technical-project-manager-crypto-com/21303,"Hong Kong,
Hong Kong",Senior Technical Project Manager,,project manager:non tech:senior,2mo
Crypto.com,https://web3.career/risk-qa-and-process-analyst-crypto-com/21302,"Sofia,
Bulgaria",Risk QA and Process Analyst,,analyst:quality assurance,2mo
Crypto.com,https://web3.career/software-engineer-business-automation-global-fintech-startup-crypto-com/21301,Remote,Software Engineer (Business Automation) - Global Fintech Startup,$40k - $120k,dev:finance:react:javascript:node,2mo
Crypto.com,https://web3.career/senior-product-manager-product-manager-price-crypto-com/21300,"Singapore,
Singapore",Senior Product Manager / Product Manager - Price,$80k - $150k,product manager:non tech:senior:nft,2mo
Crypto.com,https://web3.career/hr-admin-crypto-com/21299,"Sofia,
Bulgaria",HR Admin,$60k - $150k,hr:non tech,2mo
Cake Pte Ltd,https://web3.career/finance-reporting-manager-cakedefi/21297,"Singapore,
Singapore",Finance & Reporting Manager,$40k - $150k,finance,2mo
Catheon Gaming,https://web3.career/blockchain-chief-growth-officer-catheongaming/21296,"Hong Kong,
Hong Kong",Blockchain Chief Growth Officer,$70k - $158k,executive:marketing:non tech:blockchain:solana,2mo
Crypto.com,https://web3.career/junior-kyc-analyst-late-or-night-shifts-crypto-com/21295,"Sofia,
Bulgaria",Junior KYC Analyst (Late or Night shifts),,kyc:analyst:junior:entry level,2mo
Crypto.com,https://web3.career/software-engineering-blockchain-indexing-service-crypto-com/21294,"Hong Kong,
Hong Kong",Software Engineering (Blockchain indexing service),$32k - $67k,dev:blockchain:ruby:node:java,2mo
