Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Chainlink Labs,https://web3.career/senior-product-designer-chainlink-labs/21388,United States,Senior Product Designer,$60k - $120k,design:non tech:senior,2mo
Aave,https://web3.career/senior-frontend-toronto-aave/21386,"Toronto,
Canada",Senior Frontend (Toronto),$120k - $200k,front end:senior:web3js:react:react native,2mo
Aave,https://web3.career/senior-frontend-new-york-aave/21385,"New York,
United States",Senior Frontend (New York),$120k - $200k,front end:senior:web3js:react:react native,2mo
Aave,https://web3.career/senior-backend-engineer-toronto-canada-aave/21384,"Toronto,
Canada","Senior Backend Engineer (Toronto, Canada)",$70k - $200k,backend:dev:senior:node,2mo
Aave,https://web3.career/senior-backend-engineer-new-york-aave/21383,"New York,
United States",Senior Backend Engineer (New York),$70k - $200k,backend:dev:senior:node,2mo
Aave,https://web3.career/creator-community-development-manager-aave/21382,United Kingdom,Creator Community Development - Manager,$35k - $101k,community manager:non tech:nft,2mo
Aave,https://web3.career/creator-community-development-manager-aave/21381,United Kingdom,Creator Community Development - Manager,$35k - $101k,community manager:non tech:nft,2mo
Mythical Games,https://web3.career/senior-account-manager-mythicalgames/21380,"Seattle,
United States",Senior Account Manager,,account manager:senior,2mo
Verisart,https://web3.career/junior-test-engineer-verisart/21379,"London,
United Kingdom",Junior Test Engineer,$45k - $180k,dev:junior:entry level:nft:javascript,2mo
Roxe,https://web3.career/senior-accountant-roxe/21378,"New York,
United States",Senior Accountant,$80k - $110k,accounting:senior,2mo
✤ Syntropy,https://web3.career/blockchain-research-analyst-syntropy-net/21376,Remote,Blockchain Research Analyst,$60k - $104k,analyst:blockchain:remote,2mo
Figure,https://web3.career/senior-director-fp-a-figure/21374,"San Francisco,
United States","Senior Director, FP&A",$46k - $110k,executive:senior,2mo
Nuvei,https://web3.career/business-development-representative-digital-assets-nft-s-nuvei/21373,"Dubai,
United Arab Emirates",Business Development Representative - Digital Assets & NFT's,$40k - $140k,sales:non tech:finance:nft,2mo
Crypto.com,https://web3.career/customer-experience-quality-assurance-analyst-with-russian-crypto-com/21372,"Sofia,
Bulgaria",Customer Experience Quality Assurance Analyst with Russian,$15k - $95k,analyst:customer support,2mo
Interlay,https://web3.career/business-development-defi-exchanges-interlay/21371,United Kingdom,Business Development (DeFi & Exchanges),$79k - $140k,sales:non tech:defi,2mo
Mirana,https://web3.career/quant-researcher-defi-mirana/21370,"Singapore,
Singapore",Quant Researcher (Defi),,defi:nft:java,2mo
Friktion Labs,https://web3.career/front-end-engineer-friktion-labs/21369,Remote,Front End Engineer,$22k - $120k,dev:front end:remote:react:solana,2mo
Magno IT Recruitment,https://web3.career/crypto-engineer-5801-magnoitrecruitment/21368,"Utrecht,
Netherlands",Crypto Engineer (5801),$95k - $250k,dev:crypto:java,2mo
Crypto.com,https://web3.career/manager-security-technical-project-management-infrastructure-security-it-crypto-com/21367,United Arab Emirates,"Manager, Security Technical Project Management (Infrastructure Security & IT)",$150k - $185k,security:nft,2mo
Kraken Digital Asset Exchange,https://web3.career/treasury-project-management-data-analyst-kraken/21366,United States,Treasury - Project Management - Data Analyst,$36k - $72k,analyst:data science,2mo
nXscaleSolutions Inc,https://web3.career/customer-support-associate-remote-nxscale/21365,Remote,Customer Support Associate (Remote),$40k - $80k,remote:customer support,2mo
Worldcoin,https://web3.career/engineering-manager-orb-backend-worldcoinorg/21364,Remote,"Engineering Manager, Orb Backend",$140k - $180k,executive:backend:remote,2mo
Crypto.com,https://web3.career/cyber-security-incident-responder-sg-crypto-com/21363,"Singapore,
Singapore",Cyber Security Incident Responder (SG),$95k - $200k,security,2mo
Crypto.com,https://web3.career/associate-security-technical-project-management-infrastructure-security-it-crypto-com/21362,United Arab Emirates,"Associate, Security Technical Project Management (Infrastructure Security & IT)",$150k - $185k,security:nft,2mo
Mirana,https://web3.career/blockchain-data-engineer-mirana/21361,"Singapore,
Singapore",Blockchain Data Engineer,,data science:dev:blockchain:ethereum:node,2mo
Ferrum Network,https://web3.career/blockchain-engineer-solidity-ferrumnetwork/21360,United States,Blockchain Engineer/Solidity,$52k - $160k,dev:blockchain:solidity:ethereum,2mo
Mirana,https://web3.career/backend-engineer-smart-contract-defi-mirana/21359,"Singapore,
Singapore",Backend Engineer (Smart Contract/Defi),$30k - $100k,backend:dev:defi:smart contract:solidity,2mo
t2.world,https://web3.career/lead-blockchain-engineer-t2-world/21358,"Seattle,
United States",Lead Blockchain Engineer,$90k - $120k,dev:lead:blockchain:solidity:ethereum,2mo
Eleks,https://web3.career/senior-java-developer-eleks/21357,Remote,Senior Java Developer,$50k - $200k,dev:java:senior:remote,2mo
Binance,https://web3.career/global-brand-partnerships-manager-binance/21356,"London,
United Kingdom",Global Brand Partnerships Manager,$100k - $200k,sales:non tech:marketing,2mo
Artsy,https://web3.career/head-of-nft-artsy/21355,"New York,
United States",Head of NFT,$63k - $180k,executive:nft,2mo
nft42,https://web3.career/senior-smart-contract-engineer-nft42/21354,"San Francisco,
United States",Senior Smart Contract Engineer,$120k - $250k,dev:senior:smart contract:solidity:ethereum,2mo
Club Rare,https://web3.career/defi-product-manager-club-rare/21353,"New York,
United States",DeFi Product Manager,$130k - $175k,product manager:non tech:defi:nft,2mo
Sygnum Bank AG,https://web3.career/site-reliability-engineer-sygnum/21352,Switzerland,Site Reliability Engineer,$150k - $200k,dev:sys admin:java,2mo
Binance,https://web3.career/design-lead-mena-binance/21351,Remote,Design Lead - MENA,$40k - $190k,design:non tech:lead:remote,2mo
