Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Solend,https://web3.career/senior-software-engineer-full-stack-solend/25825,"Senior Software Engineer, Full Stack",$90k - $200k,dev:full stack:senior:remote:react,8d
Credain,https://web3.career/co-founder-cto-fintech-blockchain-early-stage-credain/25824,Co-founder / CTO - Fintech - blockchain - early stage,$0k - $24k,cto:executive:finance:blockchain,8d
Bitpanda,https://web3.career/senior-talent-acquisition-partner-product-bitpanda/25823,(Senior) Talent Acquisition Partner - Product,$40k - $70k,senior:recruiter:non tech,8d
Bitpanda,https://web3.career/customer-service-representative-bitpanda-custody-bitpanda/25822,Customer Service Representative - Bitpanda Custody,$40k - $80k,customer support,8d
Genies,https://web3.career/junior-character-technical-director-genies/25821,Junior Character Technical Director,,executive:junior:entry level:nft,8d
Genies,https://web3.career/concept-artist-genies/25820,Concept Artist,$55k - $158k,nft,8d
Nansen.ai,https://web3.career/director-of-accounting-nansen/25819,Director of Accounting,$120k - $150k,accounting:executive,8d
Injective Labs,https://web3.career/devops-engineer-injectivelabs/25818,DevOps Engineer,$60k - $180k,devops:dev,8d
SwissBorg,https://web3.career/growth-hacker-defi-remote-swissborg/25817,Growth Hacker - DeFi (Remote),$25k - $120k,remote:marketing:non tech:defi,8d
Crypto.com,https://web3.career/regulatory-compliance-assurance-and-risk-management-manager-apac-crypto-com/25816,Regulatory Compliance Assurance and Risk Management - Manager (APAC),,compliance:legal,8d
Crypto.com,https://web3.career/growth-analytics-lead-global-fintech-startup-crypto-com/25815,Growth Analytics Lead - Global Fintech Startup,,stats:finance:marketing:non tech:lead,8d
DoinGud,https://web3.career/senior-web3-frontend-engineer-doingud/25814,Senior Web3 Frontend Engineer,$70k - $200k,dev:front end:senior:react:solidity,8d
Paro.io,https://web3.career/crypto-controller-remote-projects-paro-io/25813,Crypto Controller- Remote Projects,,remote:legal:crypto,8d
Defy Trends,https://web3.career/data-scientist-analyst-blockchain-defy-trends/25812,Data Scientist/Analyst Blockchain,$50k - $85k,analyst:data science:blockchain,8d
Defy Trends,https://web3.career/blockchain-engineer-token-team-defy-trends/25811,Blockchain Engineer (Token Team),$70k - $110k,dev:blockchain:react:solidity:ethereum,8d
Bitpanda,https://web3.career/senior-talent-acquisition-partner-commercial-bitpanda/25810,(Senior) Talent Acquisition Partner - Commercial,$40k - $70k,senior:recruiter:non tech,8d
Amun 21Shares,https://web3.career/data-engineer-amun/25808,Data Engineer,,data science:dev:react:node:scala,8d
Braintrust,https://web3.career/senior-back-end-engineer-remote-braintrust/25807,Senior Back-End Engineer [REMOTE],$60k - $180k,remote:backend:dev:senior:react,8d
Stardust Cards Corporation,https://web3.career/engineering-manager-api-backend-stardust/25806,Engineering Manager (API / Backend),,executive:api:backend:remote:nft,8d
Ferrum Network,https://web3.career/community-manager-for-blockchain-company-ferrumnetwork/25805,Community Manager for Blockchain Company,$15k - $75k,community manager:non tech:blockchain,8d
Verified,https://web3.career/devops-engineer-blockchain-platform-defiblockchain/25804,DevOps Engineer (Blockchain platform),$20k - $30k,devops:dev:blockchain:ethereum,8d
Verified,https://web3.career/open-source-contributor-for-new-blockchain-protocol-defiblockchain/25803,Open source contributor for new blockchain protocol,$20k - $50k,blockchain,8d
Braintrust,https://web3.career/database-architect-firebase-gcp-remote-braintrust/25801,Database Architect (Firebase + GCP) [REMOTE],,remote:architecture:firebase,8d
Upshot,https://web3.career/sr-product-designer-upshot-io/25800,Sr. Product Designer,$60k - $120k,design:non tech:senior:remote:nft,8d
Bitpanda,https://web3.career/head-of-pantos-blockchain-technology-bitpanda/25799,Head of Pantos - Blockchain Technology,$46k - $200k,executive:blockchain,8d
Bitpanda,https://web3.career/engineering-manager-blockchain-bitpanda/25798,Engineering Manager - Blockchain,,executive:blockchain:php:java:golang,8d
Polygon,https://web3.career/mis-it-engineer-apac-remote-polygon/25797,MIS IT Engineer - APAC (Remote),$65k - $150k,remote:dev:ethereum,8d
OpenSea,https://web3.career/hr-coordinator-opensea/25796,HR Coordinator,$60k - $120k,hr:non tech:remote,8d
Mythical Games,https://web3.career/in-house-counsel-mythicalgames/25795,In-House Counsel,$24k - $140k,legal,9d
Braintrust,https://web3.career/communication-designer-remote-braintrust/25794,Communication Designer [Remote],$50k - $135k,remote:design:non tech,9d
Open Earth Foundation,https://web3.career/dlt-web3-engineer-building-decentralized-climate-solutions-open-earth-foundation/25793,DLT & Web3 Engineer: Building Decentralized Climate Solutions,$65k - $120k,dev:remote:devops:blockchain:web3js,9d
Tron,https://web3.career/c-developer-rainberry/25792,C++ Developer,$100k - $150k,c:c plus plus:dev:javascript:node,9d
Blockchain.com,https://web3.career/people-associate-blockchain/25790,People Associate,$50k - $155k,,9d
Newton,https://web3.career/senior-react-native-engineer-austin-tx-newton/25789,"Senior React Native Engineer - Austin,TX",$65k - $200k,dev:react native:mobile:javascript:react,9d
Consensys,https://web3.career/non-technical-template-consensys/25788,Non-Technical Template,$60k - $146k,remote:ethereum,9d
