Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
FTX US,https://web3.career/institutional-account-executive-ftxus/13434,"Chicago,
United States",Institutional Account Executive,$70k - $180k,executive,5mo
DFINITY,https://web3.career/senior-software-engineer-programming-languages-garbage-collection-and-runtime-systems-dfinity/13433,"Palo Alto,
United States",Senior Software Engineer - Programming Languages: Garbage Collection and Runtime Systems,$120k - $210k,dev:senior:rust,5mo
DFINITY,https://web3.career/senior-software-engineer-programming-languages-garbage-collection-and-runtime-systems-dfinity/13432,Switzerland,Senior Software Engineer - Programming Languages: Garbage Collection and Runtime Systems,$120k - $210k,dev:senior:rust,5mo
Centrifuge GmbH,https://web3.career/head-of-credit-centrifuge/13431,Remote,Head of Credit,$79k - $200k,executive:remote,5mo
Public,https://web3.career/backend-engineer-public/13430,"New York,
United States",Backend Engineer,$60k - $160k,backend:dev:java,5mo
SwissBorg,https://web3.career/product-data-analyst-swissborg/13429,"Amsterdam,
Netherlands",Product Data Analyst,$36k - $72k,analyst:data science,5mo
Chainlink Labs,https://web3.career/developer-events-manager-chainlink/13428,Remote,Developer Events Manager,,events manager:non tech:dev:remote,5mo
Chainlink Labs,https://web3.career/developer-community-manager-chainlink/13427,Remote,Developer Community Manager,,community manager:non tech:dev:remote,5mo
Ripple,https://web3.career/program-manager-nfts-ripple/13426,"San Francisco,
United States","Program Manager, NFTs",$63k - $180k,executive:nft,5mo
Crypto.com,https://web3.career/customer-experience-team-leader-with-english-and-russian-crypto-com/13425,"Sofia,
Bulgaria",Customer Experience Team Leader with English and Russian,$25k - $35k,customer support:lead,5mo
Crypto.com,https://web3.career/customer-experience-team-leader-with-english-and-turkish-crypto-com/13424,"Sofia,
Bulgaria",Customer Experience Team Leader with English and Turkish,$25k - $35k,customer support:lead,5mo
SwissBorg,https://web3.career/kyc-analyst-swissborg/13423,"Tallinn,
Estonia",KYC Analyst,,kyc:analyst,5mo
Autonomous,https://web3.career/crypto-marketing-specialist-crypto-specialist-autonomousdotai/13422,"Ho Chi Minh City,
Vietnam",Crypto Marketing Specialist/Crypto Specialist,$46k - $140k,marketing:non tech:crypto,5mo
Sygnum Bank AG,https://web3.career/full-stack-engineer-singapore-sygnum/13421,"Singapore,
Singapore","Full Stack Engineer, Singapore",$65k - $180k,dev:full stack:react:ethereum:javascript,5mo
SwissBorg,https://web3.career/metaverse-product-manager-swissborg/13420,"Lisbon,
Portugal",Metaverse Product Manager,,metaverse:product manager:non tech,5mo
Ramp,https://web3.career/google-analytics-expert-ga4-blockchain-product-analytics-rampnetwork/13419,"Warsaw,
Poland","Google Analytics Expert (GA4, Blockchain Product Analytics)",$360k - $500k,stats:blockchain,5mo
WalletConnect,https://web3.career/backend-golang-engineer-walletconnect/13417,"Berlin,
Germany",Backend Golang Engineer,$33k - $160k,backend:dev:golang:java:rust,5mo
Wirex Limited,https://web3.career/regulatory-counsel-wirexlimited/13416,"London,
United Kingdom",Regulatory Counsel,$24k - $140k,legal,5mo
Crypto.com,https://web3.career/customer-experience-team-leader-with-english-and-italian-crypto-com/13415,"Sofia,
Bulgaria",Customer Experience Team Leader with English and Italian,$25k - $35k,customer support:lead,5mo
Crypto.com,https://web3.career/customer-experience-quality-assurance-analyst-with-spanish-crypto-com/13414,"Sofia,
Bulgaria",Customer Experience Quality Assurance Analyst with Spanish,$15k - $95k,analyst:customer support,5mo
SwissBorg,https://web3.career/events-coordinator-remote-swissborg/13412,"Lisbon,
Portugal",Events Coordinator (Remote),$56k - $160k,remote,5mo
Gnosis,https://web3.career/senior-talent-acquisition-manager-m-w-d-gnosis/13411,"Berlin,
Germany",Senior Talent Acquisition Manager (m/w/d),$40k - $70k,senior:recruiter:non tech:node:remote,5mo
Crypto.com,https://web3.career/customer-experience-team-leader-with-english-and-french-crypto-com/13410,"Sofia,
Bulgaria",Customer Experience Team Leader with English and French,$25k - $35k,customer support:lead,5mo
IOVLabs,https://web3.career/product-designer-iovlabs/13409,Remote,Product Designer,$50k - $135k,design:non tech:remote,5mo
Propel,https://web3.career/application-engineer-blockchain-propel/13408,"Lagos,
Nigeria",Application Engineer - Blockchain,$40k - $107k,dev:blockchain:web3js:react:javascript,5mo
ONCARE GmbH,https://web3.career/senior-blockchain-developer-hyperleder-fabric-f-m-d-medical-industry-3370876-senior-blockchain-developer-hyperleder-fabric-f-m-d-medical-industry-utm_source-google_jobs_apply-pid-bce1fbd2f366390046fc/13407,Remote,Senior Blockchain Developer Hyperleder Fabric (f/m/d) - Medical Industry,$80k - $200k,dev:senior:blockchain:javascript:node,5mo
Binance,https://web3.career/web-developer-junior-fresh-binance/13404,"Singapore,
Singapore",Web Developer - Junior/Fresh,$45k - $180k,dev:junior:entry level,5mo
BlockFi,https://web3.career/director-of-credit-underwriting-blockfi/13403,"Singapore,
Singapore",Director of Credit Underwriting,$70k - $180k,executive,5mo
