Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
GSR,https://web3.career/site-reliability-engineer-associate-senior-associate-new-york-gsr/9511,"New York,
United States","Site Reliability Engineer, Associate/Senior Associate - New York",$150k - $200k,dev:sys admin:senior,6mo
GSR,https://web3.career/senior-data-engineer-defi-blockchain-vice-president-director-gsr/9510,"London,
United Kingdom",Senior Data Engineer - DeFi / Blockchain - Vice President / Director,,data science:executive:dev:senior:blockchain,6mo
GSR,https://web3.career/senior-data-engineer-defi-blockchain-vice-president-director-gsr/9509,"New York,
United States",Senior Data Engineer - DeFi / Blockchain - Vice President / Director,,data science:executive:dev:senior:blockchain,6mo
GSR,https://web3.career/head-of-data-vice-president-director-gsr/9508,"New York,
United States","Head of Data, Vice President/Director",,executive:data science,6mo
GSR,https://web3.career/risk-quantitative-analyst-market-and-credit-risk-gsr/9507,"New York,
United States",Risk Quantitative Analyst (Market and Credit Risk),$40k - $120k,analyst,6mo
GSR,https://web3.career/risk-quantitative-analyst-hft-model-risk-gsr/9506,"New York,
United States",Risk Quantitative Analyst (HFT/Model Risk),$40k - $120k,analyst,6mo
GSR,https://web3.career/graduate-senior-recruiter-associate-vice-president-gsr/9505,"London,
United Kingdom","Graduate Senior Recruiter, Associate / Vice President",,intern:entry level:recruiter:non tech:senior,6mo
GSR,https://web3.career/office-manager-gsr/9504,"Singapore,
Singapore",Office Manager,,,6mo
GSR,https://web3.career/business-development-associate-east-coast-or-west-coast-gsr/9503,"New York,
United States",Business Development Associate (East Coast or West Coast),$26k - $140k,sales:non tech,6mo
GSR,https://web3.career/business-development-associate-gsr/9502,"London,
United Kingdom",Business Development Associate,$26k - $140k,sales:non tech,6mo
GSR,https://web3.career/business-development-analyst-east-coast-or-west-coast-gsr/9501,"New York,
United States",Business Development Analyst (East Coast or West Coast),,analyst:sales:non tech,6mo
GSR,https://web3.career/business-development-analyst-gsr/9500,"London,
United Kingdom",Business Development Analyst,,analyst:sales:non tech,6mo
GSR,https://web3.career/junior-strategist-associate-gsr/9499,"New York,
United States",Junior Strategist - Associate,$12k - $120k,junior:entry level,6mo
Gauntlet Networks,https://web3.career/product-manager-gauntlet/9498,Remote,Product Manager,$115k - $175k,product manager:non tech:remote,6mo
Gauntlet Networks,https://web3.career/operations-associate-gauntlet/9497,Remote,Operations Associate,$80k - $110k,operations:remote,6mo
Gauntlet Networks,https://web3.career/general-counsel-gauntlet/9496,Remote,General Counsel,,legal:remote,6mo
Gauntlet Networks,https://web3.career/engineering-manager-gauntlet/9495,Remote,Engineering Manager,$79k - $200k,executive:remote,6mo
Gauntlet Networks,https://web3.career/data-science-manager-gauntlet/9494,Remote,Data Science Manager,$50k - $135k,data science:remote,6mo
Gauntlet Networks,https://web3.career/data-engineer-gauntlet/9493,Remote,Data Engineer,,data science:dev:remote,6mo
Gauntlet Networks,https://web3.career/data-analyst-gauntlet/9492,Remote,Data Analyst,$45k - $120k,analyst:data science:remote,6mo
Fuel Labs,https://web3.career/wallet-integration-developer-js-ts-fuellabs/9491,Remote,Wallet Integration Developer [JS/TS],$60k - $180k,javascript:dev:remote,6mo
Fuel Labs,https://web3.career/senior-software-engineer-rust-fuellabs/9490,Remote,Senior Software Engineer [Rust],$120k - $210k,dev:rust:senior:node:remote,6mo
Fuel Labs,https://web3.career/senior-devops-engineer-fuellabs/9489,Remote,Senior DevOps Engineer,$120k - $200k,devops:dev:senior:remote,6mo
Fuel Labs,https://web3.career/junior-software-engineer-rust-fuellabs/9488,Remote,Junior Software Engineer [Rust],$45k - $180k,dev:junior:entry level:rust:node,6mo
Findora,https://web3.career/researcher-financial-systems-findora/9487,"Menlo Park,
United States","Researcher, Financial Systems",$40k - $150k,finance,6mo
Findora,https://web3.career/research-scientist-programming-languages-findora/9486,"Menlo Park,
United States","Research Scientist, Programming Languages",,,6mo
Findora,https://web3.career/research-scientist-cryptography-findora/9485,"Menlo Park,
United States","Research Scientist, Cryptography",,,6mo
Findora,https://web3.career/research-scientist-consensus-distributed-systems-findora/9484,"Menlo Park,
United States","Research Scientist, Consensus/Distributed Systems",,,6mo
Findora,https://web3.career/research-scientist-agt-economics-findora/9483,"Menlo Park,
United States","Research Scientist, AGT/Economics",,,6mo
Findora,https://web3.career/research-scientist-gis-findora/9482,"Menlo Park,
United States",Research Scientist GIS,$60k - $147k,javascript:rust,6mo
Findora,https://web3.career/technical-product-manager-findora/9481,"Menlo Park,
United States",Technical Product Manager,$69k - $160k,product manager:non tech,6mo
Findora,https://web3.career/product-manager-decentralized-identity-findora/9480,Remote,"Product Manager, Decentralized Identity",,product manager:non tech:javascript:rust:remote,6mo
Findora,https://web3.career/product-manager-core-blockchain-findora/9479,Remote,"Product Manager, Core Blockchain",$35k - $120k,product manager:non tech:blockchain:javascript:rust,6mo
Findora,https://web3.career/technical-writer-findora/9478,Remote,Technical Writer,$45k - $120k,analyst:remote,6mo
Findora,https://web3.career/systems-engineer-findora/9477,Remote,Systems Engineer,$150k - $200k,dev:sys admin:remote,6mo
