Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
VolumeFi,https://web3.career/defi-partnerships-manager-volumefi/13747,United States,DeFi Partnerships Manager,$79k - $140k,sales:non tech:defi:ethereum,5mo
Foundry,https://web3.career/product-manager-blockchain-infrastructure-foundrydigital/13745,"New York,
United States",Product Manager - Blockchain Infrastructure,$35k - $120k,product manager:non tech:blockchain,5mo
Advanced Blockchain,https://web3.career/content-creative-advanced-blockchain-2/13743,"Berlin,
Germany",Content Creative,$0k,copywriting:remote,5mo
Kraken Digital Asset Exchange,https://web3.career/public-relations-associate-us-kraken/13742,Remote,Public Relations Associate - US,$25k - $120k,marketing:non tech:remote,5mo
Localcoin,https://web3.career/director-of-sales-localcoin/13740,"Toronto,
Canada",Director of Sales,$40k - $150k,executive:sales:non tech,5mo
Cartesi,https://web3.career/fully-remote-blockchain-engineers-cartesi/13739,Remote,Fully Remote Blockchain Engineers,$60k - $120k,remote:blockchain:solidity:ethereum:php,5mo
Chainlink Labs,https://web3.career/customer-success-manager-chainlink/13738,Remote,Customer Success Manager,,sales:non tech:customer support:remote,5mo
RECUR,https://web3.career/marketing-creative-director-recur-remote-recur/13737,Remote,"Marketing Creative Director, RECUR (Remote)",$45k - $158k,remote:executive:marketing:non tech:ethereum,5mo
RECUR,https://web3.career/marketing-creative-director-characters-entertainment-remote-recur/13736,Remote,"Marketing Creative Director, Characters/Entertainment (Remote)",$45k - $158k,remote:executive:marketing:non tech:ethereum,5mo
Okcoin,https://web3.career/product-design-manager-okcoin/13735,"San Francisco,
United States",Product Design Manager,,executive:design:non tech,5mo
Okcoin,https://web3.career/product-design-manager-okcoin/13734,"Singapore,
Singapore",Product Design Manager,,executive:design:non tech,5mo
Okcoin,https://web3.career/product-design-manager-okcoin/13733,"Sydney,
Australia",Product Design Manager,,executive:design:non tech,5mo
Coinme,https://web3.career/product-manager-latin-america-coinme/13732,"Seattle,
United States",Product Manager - Latin America,$69k - $160k,product manager:non tech,5mo
Amun 21Shares,https://web3.career/ux-copywriter-amun/13731,"New York,
United States",UX Copywriter,,copywriting:design:non tech,5mo
Cere Network,https://web3.career/blockchain-engineer-cere-network/13730,Remote,Blockchain Engineer,$100k - $125k,dev:blockchain:solidity:ethereum:nft,5mo
RECUR,https://web3.career/senior-product-manager-risk-compliance-recur/13729,"Miami,
United States","Senior Product Manager, Risk & Compliance",,compliance:product manager:non tech:senior:ethereum,5mo
RECUR,https://web3.career/marketing-motion-designer-recur-remote-recur/13728,Remote,"Marketing Motion Designer, RECUR (Remote)",$50k - $135k,remote:design:non tech:marketing:ethereum,5mo
RECUR,https://web3.career/marketing-motion-designer-characters-entertainment-remote-recur/13727,Remote,"Marketing Motion Designer, Characters/Entertainment (Remote)",$50k - $135k,remote:design:non tech:marketing:ethereum,5mo
RECUR,https://web3.career/marketing-associate-designer-recur-remote-recur/13726,Remote,"Marketing Associate Designer, RECUR (Remote)",$50k - $135k,remote:design:non tech:marketing:ethereum,5mo
RECUR,https://web3.career/marketing-associate-designer-characters-entertainment-remote-recur/13725,Remote,"Marketing Associate Designer, Characters/Entertainment (Remote)",$50k - $135k,remote:design:non tech:marketing:ethereum,5mo
BitGo,https://web3.career/legal-counsel-bitgo-gmbh-bitgo/13723,"Frankfurt,
Germany",Legal Counsel (BitGo GmbH),,legal:remote,5mo
Bitcoin Depot,https://web3.career/marketing-manager-paid-search-tampa-bitcoindepot/13722,United States,Marketing Manager – Paid Search (Tampa),$45k - $130k,marketing:non tech,5mo
Bitcoin Depot,https://web3.career/marketing-manager-paid-search-dallas-bitcoindepot/13721,"Dallas,
United States",Marketing Manager – Paid Search (Dallas),$45k - $130k,marketing:non tech,5mo
Bitcoin Depot,https://web3.career/marketing-manager-paid-search-charlotte-bitcoindepot/13720,"Charlotte,
United States",Marketing Manager – Paid Search (Charlotte),$45k - $130k,marketing:non tech,5mo
Bitcoin Depot,https://web3.career/marketing-manager-paid-search-austin-bitcoindepot/13719,"Austin,
United States",Marketing Manager – Paid Search (Austin),$45k - $130k,marketing:non tech,5mo
Crypto.com,https://web3.career/technical-analyst-crypto-com/13718,"Sofia,
Bulgaria",Technical Analyst,$40k - $120k,analyst,5mo
block42 Blockchain Company,https://web3.career/social-media-specialist-block42/13717,Austria,Social Media Specialist,$56k - $65k,social media:non tech,5mo
Mysten Labs,https://web3.career/software-engineer-rust-remote-mystenlabs/13716,Remote,"Software Engineer, Rust (Remote)",$70k - $180k,remote:dev:rust,5mo
DFINITY,https://web3.career/senior-analyst-financial-markets-and-strategy-dfinity/13715,"Palo Alto,
United States","Senior Analyst, Financial Markets and Strategy",,analyst:finance:senior,5mo
Point Network,https://web3.career/blockchain-engineers-remote-point-network/13714,"Singapore,
Singapore",Blockchain Engineers - Remote,$0k,remote:blockchain:solidity:rust,5mo
0xPragma,https://web3.career/crypto-twitter-genius-0xpragma/13713,"Berlin,
Germany",Crypto Twitter Genius,$35k - $40k,social media:non tech:crypto:nft:remote,5mo
Spring Labs,https://web3.career/sr-software-engineer-springlabs/13710,Remote,Sr. Software Engineer,$85k - $200k,dev:senior:remote,5mo
RECUR,https://web3.career/marketing-motion-designer-sports-remote-recur/13709,Remote,"Marketing Motion Designer, Sports (Remote)",$50k - $135k,remote:design:non tech:marketing:ethereum,5mo
RECUR,https://web3.career/associate-designer-sports-remote-recur/13708,Remote,"Associate Designer, Sports (Remote)",$50k - $135k,remote:design:non tech:ethereum:nft,5mo
Reality Cards,https://web3.career/growth-manager-for-nft-project-reality-cards/13707,United Kingdom,Growth Manager for NFT project,$65k - $100k,marketing:non tech:nft:ethereum,5mo
