Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Yup,https://web3.career/blockchain-engineer-yup/21007,Remote,Blockchain Engineer,$245k - $340k,dev:blockchain:remote:smart contract:solidity,2mo
Gnosis,https://web3.career/devops-engineer-blockchain-m-w-d-gnosis/21003,"Berlin,
Germany",DevOps Engineer (Blockchain) (m/w/d),$59k - $80k,devops:dev:blockchain:remote:ethereum,2mo
Spring Labs,https://web3.career/compliance-analyst-springlabs/21000,"Los Angeles,
United States",Compliance Analyst,,compliance:analyst,2mo
Foundry,https://web3.career/product-manager-inventory-management-foundrydigital/20999,"New York,
United States",Product Manager - Inventory Management,$69k - $160k,product manager:non tech,2mo
Wirex Limited,https://web3.career/people-advisor-wirexlimited/20998,"London,
United Kingdom",People Advisor,,,2mo
Sygnum Bank AG,https://web3.career/business-management-intern-digital-assets-custody-decentralized-finance-defi-sygnum/20997,Switzerland,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,2mo
Founders Factory,https://web3.career/ceo-cofounder-project-lime-founders-factory/20995,"London,
United Kingdom","CEO, Cofounder (Project Lime)",$70k - $80k,executive:defi:marketing:non tech,2mo
Crypto.com,https://web3.career/information-security-governance-manager-us-crypto-com/20996,"Miami,
United States",Information Security Governance Manager (US),$95k - $200k,security,2mo
ZAUBAR,https://web3.career/internship-software-tester-qa-berlin-germany-zaubar/20994,"Berlin,
Germany","Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,2mo
Next Big Thing AG,https://web3.career/senior-sales-manager-european-market-nextbigthing/20993,"Berlin,
Germany",Senior Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,2mo
Braintrust,https://web3.career/devops-engineer-remote-global-braintrust/20992,Remote,DevOps Engineer (REMOTE) (GLOBAL),$95k - $180k,remote:devops:dev:javascript:ruby,2mo
Metaverse Game Studios,https://web3.career/senior-3d-environment-artist-metaverse-game-studios/20991,Remote,Senior 3D Environment Artist,,vfx:senior:remote,2mo
Liquid,https://web3.career/mobile-developer-android-liquid/20990,Vietnam,Mobile Developer - Android,,android:mobile:dev:java,2mo
ZAUBAR,https://web3.career/internship-software-tester-qa-berlin-germany-zaubar/20989,"Berlin,
Germany","Internship: Software Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance:dev,2mo
Azuki,https://web3.career/marketing-manager-azuki/20988,"Los Angeles,
United States",Marketing Manager,$45k - $130k,marketing:non tech,2mo
ZAUBAR,https://web3.career/software-developer-saas-media-immersive-realities-zaubar/20987,Remote,"Software Developer (SaaS, Media, Immersive Realities)",,dev:saas:remote,2mo
CoinDesk & TradeBlock Opportunities,https://web3.career/director-of-security-compliance-coindesk/20986,United States,Director of Security & Compliance,,compliance:executive:security,2mo
BC.GAME,https://web3.career/crypto-content-author-wfh-bc-game-2/20985,Venezuela,Crypto Content Author (WFH),$0k,crypto,2mo
Hack VC,https://web3.career/senior-smart-contract-developer-hack-vc/20984,"San Francisco,
United States",Senior Smart Contract Developer,$200k,dev:senior:smart contract:solidity:javascript,2mo
Crypto.com,https://web3.career/head-of-finance-korea-crypto-com/20983,Remote,"Head of Finance, Korea",$40k - $225k,executive:finance:remote,2mo
ZAUBAR,https://web3.career/internship-city-walking-tours-tester-qa-berlin-germany-zaubar/20982,"Berlin,
Germany","Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,2mo
Azuki,https://web3.career/art-director-branding-azuki/20981,"Los Angeles,
United States","Art Director, Branding",$70k - $180k,executive,2mo
Azuki,https://web3.career/designer-product-marketing-azuki/20980,"Los Angeles,
United States","Designer, Product & Marketing",,design:non tech:marketing,2mo
Azuki,https://web3.career/administrative-business-partner-azuki/20979,"Los Angeles,
United States",Administrative Business Partner,,,2mo
TOKI,https://web3.career/cto-co-founder-toki/20955,Remote,"CTO, Co-Founder",$220k - $400k,dev:executive:ecommerce:remote:solidity,2mo
Crypto.com,https://web3.career/senior-customer-experience-trainer-crypto-com/20978,"Sofia,
Bulgaria",Senior Customer Experience Trainer,,customer support:senior:education,2mo
Azuki,https://web3.career/software-engineer-full-stack-azuki/20977,"Los Angeles,
United States","Software Engineer, Full Stack",$65k - $180k,dev:full stack,2mo
Dexterity Capital,https://web3.career/senior-blockchain-engineer-defi-dexteritycapital/20976,Remote,"Senior Blockchain Engineer, DeFi",$80k - $200k,dev:senior:blockchain:defi:solidity,2mo
Cake Pte Ltd,https://web3.career/senior-devops-engineer-cakedefi/20975,"Singapore,
Singapore",Senior DevOps Engineer,$120k - $200k,devops:dev:senior,2mo
ZAUBAR,https://web3.career/software-developer-saas-media-immersive-realities-zaubar/20974,Remote,"Software Developer (SaaS, Media, Immersive Realities)",,dev:saas:remote,2mo
peaq,https://web3.career/recruitment-and-hr-assistant-m-f-d-peaq/20973,Remote,Recruitment and HR Assistant (m/f/d),$51k - $70k,hr:non tech:recruiter:remote,2mo
Sygnum Bank AG,https://web3.career/junior-sales-trader-sygnum/20972,Switzerland,Junior Sales Trader,$78k - $93k,junior:entry level:sales:non tech:trader,2mo
Qubit9 GmbH,https://web3.career/lead-developer-blockchain-m-f-d-qubit9/20971,"Hamburg,
Germany",Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,2mo
Tatum,https://web3.career/blockchain-application-support-engineer-tatum/20970,Remote,Blockchain Application Support Engineer,,dev:customer support:blockchain:node:remote,2mo
