Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Stealth NFT DeFi,https://web3.career/front-end-developer-stealth-nft/23205,"San Francisco,
United States",Front End Developer,$45k - $100k,dev:front end:react:nft,1mo
Binance,https://web3.career/system-operations-engineer-binance/23204,Remote,System Operations Engineer,,dev:operations:remote,1mo
Binance,https://web3.career/senior-php-developer-binance/23203,Canada,Senior PHP Developer,,dev:php:senior,1mo
Chainlink Labs,https://web3.career/site-reliability-engineer-incident-response-chainlink/23202,Remote,"Site Reliability Engineer, Incident Response",$150k - $200k,dev:sys admin:remote:solidity:node,1mo
Mythical Games,https://web3.career/senior-software-engineer-mythicalgames/23201,"Kansas City,
United States",Senior Software Engineer,$80k - $200k,dev:senior:javascript:java,1mo
Nuri,https://web3.career/senior-software-engineer-platform-golang-nuri/23200,"Berlin,
Germany",Senior Software Engineer - Platform (Golang),$65k - $150k,dev:golang:senior:remote,1mo
Injective Labs,https://web3.career/vp-of-engineering-injectivelabs/23199,Remote,VP of Engineering,$79k - $200k,executive:remote,1mo
Mythical Games,https://web3.career/lead-software-engineer-mythicalgames/23198,"Kansas City,
United States",Lead Software Engineer,$120k - $200k,dev:lead:react:javascript:java,1mo
Sygnum Bank AG,https://web3.career/software-engineer-sygnum/23197,Switzerland,Software Engineer,$57k - $140k,dev:react:ethereum:javascript,1mo
RZLT,https://web3.career/brand-ambassador-for-blockchain-protocols-rezolute/23196,"Bucharest,
Romania",Brand Ambassador for Blockchain Protocols,$13k - $27k,marketing:non tech:blockchain,1mo
TradingView,https://web3.career/junior-finance-writer-crypto-stocks-tradingview-1/23195,United Kingdom,Junior Finance Writer (Crypto + Stocks),$40k - $67k,finance:junior:entry level:crypto,1mo
ZAUBAR,https://web3.career/internship-city-walking-tours-tester-qa-berlin-germany-zaubar/23194,"Berlin,
Germany","Internship: City & Walking Tours Tester (QA) - Berlin, Germany",,intern:entry level:quality assurance,1mo
Chainalysis,https://web3.career/account-executive-state-local-south-east-chainalysis/23193,"Miami,
United States","Account Executive, State & Local - South East",$70k - $180k,executive,1mo
Chainalysis,https://web3.career/account-executive-state-local-north-east-chainalysis/23192,"New York,
United States","Account Executive, State & Local - North East",$70k - $180k,executive,1mo
BlockFi,https://web3.career/client-service-analyst-us-west-blockfi/23191,"Los Angeles,
United States",Client Service Analyst - US West,$40k - $120k,analyst,1mo
BlockFi,https://web3.career/client-service-analyst-us-west-blockfi/23190,"Los Angeles,
United States",Client Service Analyst - US West,$40k - $120k,analyst,1mo
BlockFi,https://web3.career/client-service-analyst-us-east-blockfi/23189,"New York,
United States",Client Service Analyst - US East,$40k - $120k,analyst,1mo
BlockFi,https://web3.career/client-service-analyst-us-east-blockfi/23188,"New York,
United States",Client Service Analyst - US East,$40k - $120k,analyst,1mo
Okcoin,https://web3.career/product-manager-pro-experience-okcoin/23187,"San Francisco,
United States",Product Manager - Pro Experience,$69k - $160k,product manager:non tech,1mo
Okcoin,https://web3.career/product-manager-pro-experience-okcoin/23186,Remote,Product Manager - Pro Experience,$115k - $175k,product manager:non tech:remote,1mo
Konstellation Korea,https://web3.career/solana-smart-contract-engineer-konstellation-1/23185,"New York,
United States",Solana Smart Contract Engineer,$33k - $100k,dev:smart contract:web3js:solana:ethereum,1mo
Sygnum Bank AG,https://web3.career/backend-engineer-sygnum/23184,Switzerland,Backend Engineer,$65k - $150k,backend:dev:javascript:java,1mo
CANDY,https://web3.career/backend-engineer-python-candy/23182,"New York,
United States",Backend Engineer (Python),,backend:dev:python,1mo
Chain Champs,https://web3.career/ui-ux-designer-nft-marketplace-chain-champs/23181,"Toronto,
Canada",UI/UX Designer - NFT Marketplace,$0k,design:non tech:nft,1mo
Halborn,https://web3.career/technical-recruiter-100-remote-blockchain-halborn/23180,Spain,"Technical Recruiter - 100% Remote, Blockchain",$0k,remote:recruiter:non tech:blockchain:nft,1mo
Okcoin,https://web3.career/research-analyst-okcoin/23178,"San Francisco,
United States",Research Analyst,$40k - $120k,analyst,1mo
Okcoin,https://web3.career/market-researcher-okcoin/23177,"San Francisco,
United States",Market Researcher,,,1mo
Okcoin,https://web3.career/product-design-manager-okcoin/23176,"San Francisco,
United States",Product Design Manager,,executive:design:non tech,1mo
Okcoin,https://web3.career/product-designer-okcoin/23175,"San Francisco,
United States",Product Designer,$50k - $150k,design:non tech,1mo
Okcoin,https://web3.career/content-writer-okcoin/23174,"San Francisco,
United States",Content Writer,$13k - $45k,copywriting,1mo
BlockFi,https://web3.career/client-service-analyst-emea-blockfi/23173,"London,
United Kingdom",Client Service Analyst - EMEA,$40k - $120k,analyst,1mo
BlockFi,https://web3.career/client-service-analyst-emea-blockfi/23172,"London,
United Kingdom",Client Service Analyst - EMEA,$40k - $120k,analyst,1mo
BitGo,https://web3.career/accounts-receivable-manager-bitgo/23171,"Palo Alto,
United States",Accounts Receivable Manager,,,1mo
NFT Figure,https://web3.career/lead-developer-for-nft-startup-remote-equity-payment-nftfigure/23170,Remote,"Lead Developer for NFT Startup (remote, equity payment)",$203k - $338k,remote:dev:lead:nft:javascript,1mo
Blockchain.com,https://web3.career/total-rewards-partner-blockchain/23169,"London,
United Kingdom",Total Rewards Partner,,,1mo
