Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Grayscale Investments,https://web3.career/private-placement-sales-analyst-grayscaleinvestments/20228,United States,Private Placement Sales Analyst,,analyst:sales:non tech,2mo
ONCARE GmbH,https://web3.career/associate-to-the-cfo-oncare/20227,"Munich,
Germany",Associate to the CFO,$40k - $100k,finance:remote,2mo
"Capsule Social, Inc.",https://web3.career/quality-assurance-test-and-benchmarking-engineer-capsule/20226,Remote,"Quality Assurance, Test and Benchmarking Engineer",$60k - $165k,dev:node:remote,2mo
KOOSAI,https://web3.career/software-engineer-behinddigital/20225,Remote,Software Engineer,$60k - $150k,dev:ethereum:remote,2mo
Ferrum Network,https://web3.career/sales-representative-for-blockchain-company-ferrumnetwork/20224,United States,Sales Representative for Blockchain Company,$78k - $150k,sales:non tech:blockchain:ethereum,2mo
Ferrum Network,https://web3.career/blockchain-engineer-solidity-only-accepting-candidates-in-the-usa-ferrumnetwork/20223,United States,Blockchain Engineer/Solidity (Only accepting candidates in the USA),$52k - $160k,dev:blockchain:solidity:ethereum,2mo
Grayscale Investments,https://web3.career/private-placement-senior-sales-representative-us-central-region-grayscaleinvestments/20222,United States,"Private Placement Senior Sales Representative - US, Central Region",$50k - $150k,sales:non tech:senior,2mo
NFT,https://web3.career/startup-co-founder-cto-f-m-d-nft-performance/20221,"Berlin,
Germany",Startup Co-Founder & CTO (f/m/d),$79k - $180k,executive:nft:remote:java:cto,2mo
BlockFi,https://web3.career/client-relationship-manager-apac-blockfi/20220,"Singapore,
Singapore","Client Relationship Manager, APAC",$45k - $130k,marketing:non tech,2mo
peaq,https://web3.career/content-manager-editor-m-w-d-peaq/20219,Remote,Content Manager [Editor] (m/w/d),$25k - $96k,marketing:non tech:copywriting:remote,2mo
Sygnum Bank AG,https://web3.career/product-manager-digital-assets-custody-sygnum/20218,Switzerland,Product Manager – Digital Assets Custody,,finance:product manager:non tech:ethereum,2mo
Lykke Business AG,https://web3.career/lykke-chief-financial-officer-lykke-business/20217,Remote,Lykke Chief Financial Officer,$40k - $225k,executive:finance:remote,2mo
Blocksize Capital GmbH,https://web3.career/frontend-developer-react-partially-or-fully-remote-blocksize-capital/20213,Remote,Frontend Developer React (partially or fully remote),$22k - $73k,remote:dev:front end:javascript:react,2mo
bloXmove,https://web3.career/junior-dev-ops-engineer-m-f-d-bloxmove/20212,Remote,(Junior) Dev Ops Engineer (m/f/d),,dev:devops:junior:entry level:web3js,2mo
PolyCrypt,https://web3.career/core-developer-perun/20211,Remote,Core Developer,$50k - $67k,dev:java:rust:remote,2mo
Schnell Global,https://web3.career/internship-online-nft-magazine-editor-assistant-schnellglobal/20210,Remote,Internship: Online NFT Magazine editor assistant,$0k,intern:entry level:nft:remote,2mo
Solcial,https://web3.career/rust-engineer-solcial/20209,Remote,Rust Engineer,$70k - $180k,dev:rust:remote:solana,2mo
ModSquad,https://web3.career/engagement-moderation-and-support-video-game-developer-publisher-uk-based-modsquad/20208,Remote,Engagement Moderation and Support - Video Game Developer & Publisher - UK-Based,,dev:game dev:customer support:video:remote,2mo
