Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Messari,https://web3.career/director-product-design-messari/7607,Remote,"Director, Product Design",,design:non tech:executive:remote,6mo
Ledger,https://web3.career/senior-web-developer-wordpress-shopify-javascript-ecommerce-ledger/7606,"Paris,
France",Senior Web Developer (WordPress/Shopify/JavaScript) - Ecommerce,$220k - $400k,dev:ecommerce:javascript:senior:wordpress,6mo
SuperRare Labs,https://web3.career/senior-data-engineer-superrarelabs/7605,"New York,
United States",Senior Data Engineer,$130k - $160k,data science:dev:senior:ethereum:nft,6mo
Chainalysis,https://web3.career/sales-director-latam-spanish-speaking-chainalysis/7604,"Washington,
United States","Sales Director, LATAM (Spanish speaking)",$40k - $150k,executive:sales:non tech,6mo
RECUR,https://web3.career/licensing-coordinator-film-remote-recur/7603,"Miami,
United States","Licensing Coordinator, Film (Remote)",$79k - $158k,remote:ethereum:nft,6mo
Cake Pte Ltd,https://web3.career/finance-engineering-analyst-cakedefi/7601,"Singapore,
Singapore",Finance Engineering Analyst,,analyst:finance:javascript,6mo
Kraken Digital Asset Exchange,https://web3.career/director-global-compensation-kraken/7600,Remote,Director Global Compensation,$79k - $200k,executive:remote,6mo
Binance,https://web3.career/institutional-sales-relationship-manager-japanese-speaking-binance/7599,"Singapore,
Singapore",Institutional Sales & Relationship Manager (Japanese Speaking),$100k - $200k,marketing:non tech:sales,6mo
Binance,https://web3.career/binance-research-analyst-blockchain-research-binance/7598,Europe,Binance Research Analyst (Blockchain Research),$60k - $104k,analyst:blockchain,6mo
Sepana,https://web3.career/vp-r-d-sepana/7596,Remote,VP R&D,,executive:solidity:remote,6mo
GSR,https://web3.career/senior-support-engineer-associate-senior-associate-gsr/7595,"New York,
United States","Senior Support Engineer, Associate/Senior Associate",,dev:senior:customer support,6mo
SwissBorg,https://web3.career/french-customer-service-agent-remote-swissborg/7594,"Budapest,
Hungary",French Customer Service Agent (Remote),$40k - $80k,remote:customer support,6mo
VaynerMedia LLC,https://web3.career/social-media-community-manager-vaynermedia/7593,"New York,
United States",Social Media & Community Manager,$45k - $100k,community manager:non tech:social media:nft,6mo
Ledger,https://web3.career/technical-customer-success-specialist-german-speaking-ledger/7592,"Paris,
France",Technical Customer Success Specialist - German speaking,$40k - $80k,customer support,6mo
Gnosis,https://web3.career/senior-devops-engineer-m-w-d-gnosis/7591,"Berlin,
Germany",Senior DevOps Engineer (m/w/d),$120k - $200k,devops:dev:senior:ethereum:rust,6mo
Chainlink Labs,https://web3.career/people-systems-director-chainlink/7589,Remote,People Systems Director,$79k - $200k,executive:remote,6mo
GSR,https://web3.career/quantitative-trader-options-systematic-volatility-trading-gsr/7588,"London,
United Kingdom",Quantitative Trader (Options) - Systematic Volatility Trading,$31k - $37k,trader,6mo
Binance,https://web3.career/quality-assurance-qa-engineer-binance/7587,"Hong Kong,
Hong Kong",Quality Assurance (QA) Engineer,$50k - $150k,dev:quality assurance,6mo
GSR,https://web3.career/quantitative-trader-new-york-thursday-to-sunday-gsr/7586,"New York,
United States",Quantitative Trader - New York (Thursday to Sunday),$31k - $37k,trader,6mo
Binance,https://web3.career/growth-product-manager-crm-cms-binance/7584,Asia,"Growth Product Manager (CRM, CMS)",,crm:marketing:non tech:product manager,6mo
Blockdaemon,https://web3.career/sales-director-uk-blockdaemon/7583,"London,
United Kingdom","Sales Director, UK",$40k - $150k,executive:sales:non tech,6mo
OKEx,https://web3.career/product-manager-api-okex/7582,"Hong Kong,
Hong Kong",Product Manager - API,,api:product manager:non tech,6mo
Blockdaemon,https://web3.career/sales-director-singapore-blockdaemon/7581,"Singapore,
Singapore","Sales Director, Singapore",$40k - $150k,executive:sales:non tech,6mo
Binance,https://web3.career/data-warehouse-engineer-binance/7580,"Singapore,
Singapore",Data Warehouse Engineer,$60k - $180k,dev,6mo
Binance,https://web3.career/bd-manager-kol-partnerships-binance/7579,Middle East & North Africa,BD Manager (KOL & Partnerships),$26k - $140k,sales:non tech,6mo
Bitcoin Depot,https://web3.career/bank-secrecy-act-officer-bitcoindepot/7577,"Atlanta,
United States",Bank Secrecy Act Officer,$40k - $150k,finance,6mo
Holaplex,https://web3.career/senior-product-designer-holaplex/7576,Remote,Senior Product Designer,$60k - $120k,design:non tech:senior:nft:remote,6mo
Kava Labs,https://web3.career/business-development-manager-north-america-kava/7575,"San Francisco,
United States","Business Development Manager, North America",$26k - $140k,sales:non tech,6mo
BitGo,https://web3.career/senior-software-engineer-sdk-blockchain-bitgo/7574,"Palo Alto,
United States","Senior Software Engineer (SDK), Blockchain",$80k - $200k,dev:senior:blockchain:javascript,6mo
Kraken Digital Asset Exchange,https://web3.career/finance-associate-kraken-bank-kraken/7573,Cheyenne,Finance Associate - Kraken Bank,$40k - $150k,finance,6mo
Coin Metrics,https://web3.career/business-analyst-coinmetrics/7572,"Boston,
United States",Business Analyst,$40k - $120k,analyst,6mo
Kraken Digital Asset Exchange,https://web3.career/director-security-and-technology-m-a-kraken/7571,Remote,"Director, Security and Technology M&A",$95k - $250k,executive:security:remote,6mo
Kraken Digital Asset Exchange,https://web3.career/information-security-manager-kraken-bank-kraken/7569,Wyoming,Information Security Manager - Kraken Bank,,finance:security,6mo
Revolut,https://web3.career/senior-crypto-community-manager-revolut/7568,"London,
United Kingdom",Senior Crypto Community Manager,,community manager:non tech:senior:crypto,6mo
DeSo Foundation,https://web3.career/coo-deso/7567,United States,COO,$60k - $80k,operations:ethereum,6mo
