Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Cake Pte Ltd,https://web3.career/vp-operations-cakedefi/19562,"Singapore,
Singapore","VP, Operations",$150k - $230k,operations:executive,3mo
Chainlink Labs,https://web3.career/engineering-manager-infrastructure-chainlink-labs/19561,"Stockholm,
Sweden","Engineering Manager, Infrastructure",$70k - $180k,executive,3mo
Notabene,https://web3.career/head-of-business-development-notabene/19560,"New York,
United States",Head of Business Development,$40k - $150k,executive:sales:non tech,3mo
BlockFi,https://web3.career/private-client-associate-blockfi/19559,"New York,
United States",Private Client Associate,,,3mo
Ripple,https://web3.career/software-engineer-ripple-x-summer-2022-intern-ripple/19556,"San Francisco,
United States","Software Engineer, Ripple X (Summer 2022 Intern)",$12k - $33k,dev:intern:entry level:javascript:java,3mo
BlockFi,https://web3.career/director-us-structuring-core-product-blockfi/19555,"New York,
United States","Director, US Structuring (Core Product)",$70k - $180k,executive,3mo
BlockFi,https://web3.career/director-of-structuring-derivatives-blockfi/19554,"New York,
United States","Director of Structuring, Derivatives",$70k - $180k,executive,3mo
Swash,https://web3.career/crypto-accountant-part-time-remote-swash-1/19553,United Kingdom,Crypto Accountant (Part time - Remote),$25k,remote:accounting:part time:crypto,3mo
Binance,https://web3.career/java-developer-internal-systems-binance/19552,"Moscow,
Russia",Java Developer (Internal Systems),$33k - $140k,dev:java,3mo
Ianuly Talent Accelerators,https://web3.career/head-of-blockchain-ianulytalentaccelerators/19551,"San Francisco,
United States",Head of Blockchain,$46k - $200k,executive:blockchain,3mo
Shakepay,https://web3.career/merch-manager-remote-canada-shakepay/19550,"Montreal,
Canada",Merch Manager (Remote - Canada),$56k - $160k,remote,3mo
RECUR,https://web3.career/director-cloud-infrastructure-and-devops-remote-recur/19549,"Boston,
United States","Director, Cloud Infrastructure and DevOps (Remote)",,remote:cloud:devops:executive:nft,3mo
cLabs,https://web3.career/security-analyst-clabs/19545,Remote,Security Analyst,,analyst:security:remote,3mo
Ripple,https://web3.career/senior-product-financial-systems-ripple/19544,"San Francisco,
United States","Senior Product, Financial Systems",$50k - $150k,finance:senior,3mo
Chainalysis,https://web3.career/account-executive-canada-defense-public-safety-chainalysis/19543,"Toronto,
Canada","Account Executive, Canada (Defense & Public Safety)",$70k - $180k,executive,3mo
Tokensoft,https://web3.career/blockchain-engineer-tokensoft/19542,"San Francisco,
United States",Blockchain Engineer,$50k - $130k,dev:blockchain:react:ethereum:nextjs,3mo
Paradigm,https://web3.career/events-lead-paradigm-xyz/19541,"San Francisco,
United States",Events Lead,$60k - $200k,lead,3mo
OpenSea,https://web3.career/platform-partnerships-manager-opensea/19540,Remote,Platform Partnerships Manager,$29k - $108k,sales:non tech:remote:nft,3mo
Palm NFT Studio,https://web3.career/lead-ux-ui-designer-palm-nft-studio/19539,"San Francisco,
United States",Lead UX/UI Designer,$120k - $190k,design:non tech:lead:ethereum:nft,3mo
Palm NFT Studio,https://web3.career/senior-experiential-designer-palm-nft-studio/19538,"New York,
United States",Senior Experiential Designer,$75k - $120k,design:non tech:senior:ethereum:nft,3mo
Figure,https://web3.career/senior-software-engineer-anti-fraud-remote-figure/19535,"Atlanta,
United States","Senior Software Engineer, Anti-Fraud (Remote)",$95k - $250k,remote:dev:security:senior,3mo
Chainalysis,https://web3.career/solutions-architect-ny-chainalysis/19534,"New York,
United States","Solutions Architect, NY",$67k - $180k,architecture,3mo
Amun 21Shares,https://web3.career/engineering-manager-devops-amun/19533,Remote,"Engineering Manager, DevOps",$95k - $250k,executive:devops:remote,3mo
Tatum,https://web3.career/sales-engineer-blockchain-europe-apac-tatum-6/19532,United Kingdom,Sales Engineer - Blockchain (Europe/APAC),,dev:sales:non tech:blockchain:solana,3mo
IOTA Foundation,https://web3.career/product-designer-iota/19531,Remote,Product Designer,$50k - $135k,design:non tech:remote,3mo
Next Big Thing AG,https://web3.career/head-of-sales-european-market-nextbigthing/19528,"Berlin,
Germany",Head of Sales - European market,$40k - $150k,executive:sales:non tech:remote,3mo
Sygnum Bank AG,https://web3.career/digital-assets-operations-team-leader-singapore-sygnum/19527,"Singapore,
Singapore","Digital Assets Operations Team Leader, Singapore",,finance:lead:operations:ethereum,3mo
Ripple,https://web3.career/senior-manager-business-development-ripplex-ripple/19526,"San Francisco,
United States","Senior Manager, Business Development, RippleX",$50k - $150k,sales:non tech:senior,3mo
Ripple,https://web3.career/senior-manager-business-development-ripplex-ripple/19525,"New York,
United States","Senior Manager, Business Development, RippleX",$50k - $150k,sales:non tech:senior,3mo
NEAR,https://web3.career/core-engineer-database-development-near/19524,"San Francisco,
United States",Core Engineer (Database Development),$75k - $190k,dev:rust,3mo
Next Big Thing AG,https://web3.career/entrepreneur-co-founder-f-m-x-blockchain-nextbigthing/19521,"Berlin,
Germany",Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,3mo
The Block,https://web3.career/vp-of-sponsorships-theblockcrypto/19520,Remote,VP of Sponsorships,$79k - $200k,executive:remote,3mo
Alchemy,https://web3.career/discord-community-advocate-alchemy/19519,Remote,Discord Community Advocate,$40k - $101k,community manager:non tech:remote,3mo
CoinList,https://web3.career/payroll-manager-coinlist/19518,"San Francisco,
United States",Payroll Manager,$25k - $150k,accounting,3mo
Stardust Cards Corporation,https://web3.career/ui-ux-designer-stardust/19517,Remote,UI / UX Designer,$50k - $135k,design:non tech:remote:nft,3mo
