Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Crypto.com,https://web3.career/user-community-manager-defi-dapp-usa-crypto-com/16584,User Community Manager - DeFi/DApp (USA),,community manager:non tech:dapp:defi:nft,3mo
Atomic,https://web3.career/senior-frontend-engineer-atomic/16583,Senior Frontend Engineer,$70k - $190k,dev:front end:senior:remote:nft,3mo
SupraOracles,https://web3.career/director-of-engineering-supraoracles/16581,Director of Engineering,$50k - $158k,executive:solidity:ethereum:javascript:golang,3mo
MRGN Labs,https://web3.career/senior-software-engineer-backend-mrgn-labs/16580,Senior Software Engineer - Backend,$70k - $200k,backend:dev:senior:remote:solana,3mo
MRGN Labs,https://web3.career/senior-blockchain-engineer-mrgn-labs/16579,Senior Blockchain Engineer,$80k - $200k,dev:senior:blockchain:remote:solana,3mo
Stellar Development Foundation,https://web3.career/pr-communications-manager-stellar/16578,PR & Communications Manager,$45k - $130k,marketing:non tech,3mo
Blocksize Capital GmbH,https://web3.career/frontend-developer-react-partially-or-fully-remote-3654257-frontend-developer-react-partially-or-fully-remote/16576,Frontend Developer React (partially or fully remote),$22k - $73k,remote:dev:front end:javascript:react,3mo
IOTA Foundation,https://web3.career/technical-program-manager-exchanges-and-custody-solutions-iota/16575,Technical Program Manager - Exchanges and custody solutions,$79k - $200k,executive:remote,3mo
Kraken Digital Asset Exchange,https://web3.career/social-media-manager-nft-kraken/16573,"Social Media Manager, NFT",$35k - $75k,social media:non tech:nft:remote,3mo
RECUR,https://web3.career/compliance-associate-remote-recur/16572,Compliance Associate (Remote),,compliance:remote:ethereum:nft,3mo
Autograph,https://web3.career/3d-generalist-autograph/16571,3D Generalist,$11k - $35k,vfx:nft,3mo
HEIR,https://web3.career/software-engineering-backend-heir/16567,"Software Engineering, Backend",$60k - $180k,backend:dev:remote:solana,3mo
HEIR,https://web3.career/ios-engineer-heir/16566,iOS engineer,$51k - $109k,dev:ios:mobile:remote:solana,3mo
HEIR,https://web3.career/community-manager-heir/16565,Community Manager,$40k - $101k,community manager:non tech:remote:solana,3mo
HEIR,https://web3.career/blockchain-engineer-heir/16564,Blockchain Engineer,$70k - $190k,dev:blockchain:remote:solana,3mo
Ripple,https://web3.career/technical-recruiter-ripple/16563,Technical Recruiter,,recruiter:non tech:react:java,3mo
Figment,https://web3.career/automation-senior-devops-engineer-figment/16561,Automation Senior DevOps Engineer,$120k - $200k,devops:dev:senior,3mo
Blockchain.com,https://web3.career/partner-success-lead-blockchain/16560,Partner Success Lead,$60k - $200k,lead,3mo
Blockchain.com,https://web3.career/nft-partnerships-lead-blockchain/16559,NFT Partnerships Lead,,sales:non tech:lead:nft,3mo
Blockchain.com,https://web3.career/crypto-partnerships-lead-blockchain/16558,Crypto Partnerships Lead,,sales:non tech:lead:crypto,3mo
WebTree,https://web3.career/cto-blockchain-decentralization-rockstar-web-tree/16557,"CTO. Blockchain, decentralization rockstar",$0k,executive:blockchain:cto,3mo
Public,https://web3.career/junior-operations-analyst-licensed-public/16551,Junior Operations Analyst (Licensed),$10k - $13k,analyst:junior:entry level:operations,3mo
Figment,https://web3.career/automation-devops-engineer-figment/16550,Automation Devops Engineer,$70k - $180k,devops:dev,3mo
Atomic,https://web3.career/senior-ux-designer-atomic/16547,Senior UX Designer,$60k - $120k,design:non tech:senior:remote:nft,3mo
SupraOracles,https://web3.career/senior-software-engineer-blockchain-supraoracles/16546,Senior Software Engineer - Blockchain,$80k - $200k,dev:senior:blockchain:solidity:ethereum,3mo
Chainlink Labs,https://web3.career/global-director-specialist-sales-and-gtm-strategy-chainlink/16545,Global Director Specialist Sales and GTM Strategy,$40k - $150k,executive:sales:non tech:remote,3mo
CoinDesk & TradeBlock Opportunities,https://web3.career/manager-audience-partnerships-consensus-festival-coindesk/16543,"Manager, Audience Partnerships - Consensus Festival",$29k - $108k,sales:non tech:remote:nft,3mo
buildspace,https://web3.career/founding-engineer-fullstack-buildspace/16542,Founding Engineer [Fullstack],$80k - $220k,dev:full stack:remote,3mo
buildspace,https://web3.career/head-of-community-buildspace/16541,Head of Community,$80k - $120k,executive:community manager:non tech:remote,3mo
Quidax,https://web3.career/liquidity-associate-quidax/16538,Liquidity Associate,$29k - $108k,sales:non tech:remote,3mo
Metal,https://web3.career/senior-qa-engineer-metalpay/16536,Senior QA Engineer,$30k - $50k,dev:quality assurance:senior:remote,3mo
Chainlink Labs,https://web3.career/global-lead-of-cefi-sales-strategy-chainlink/16535,"Global Lead of CeFi, Sales & Strategy",,lead:sales:non tech:remote,3mo
CoinFlip,https://web3.career/trading-analyst-coinflip/16534,Trading Analyst,$40k - $120k,analyst,3mo
Cocomore AG,https://web3.career/director-consulting-all-genders-cocomore-ag/16533,Director Consulting (all genders),,consulting:executive,3mo
IOTA Foundation,https://web3.career/app-developer-firefly-iota/16532,App Developer - Firefly,$56k - $160k,dev:react:javascript:rust:remote,3mo
