Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
CANDY,https://web3.career/internship-part-time-candy/10212,Internship (Part-Time),,intern:entry level:part time,5mo
CANDY,https://web3.career/internship-full-time-candy/10211,Internship (Full-Time),,full time:intern:entry level,5mo
CANDY,https://web3.career/head-of-finance-candy/10210,Head of Finance,$90k - $200k,executive:finance,5mo
CANDY,https://web3.career/user-experience-designer-candy/10209,User Experience Designer,$60k - $150k,design:non tech:nft:javascript,5mo
CANDY,https://web3.career/senior-sound-designer-candy/10208,Senior Sound Designer,$60k - $120k,design:non tech:senior,5mo
CANDY,https://web3.career/senior-sound-designer-candy/10207,Senior Sound Designer,$60k - $120k,design:non tech:senior,5mo
CANDY,https://web3.career/senior-art-director-candy/10206,Senior Art Director,$46k - $110k,executive:senior,5mo
CANDY,https://web3.career/media-producer-candy/10205,Media Producer,,,5mo
CANDY,https://web3.career/design-director-candy/10204,Design Director,,design:non tech:executive,5mo
CANDY,https://web3.career/creative-studio-manager-candy/10203,Creative Studio Manager,,,5mo
CANDY,https://web3.career/3d-modeler-candy/10202,3D Modeler,$13k - $50k,vfx,5mo
CANDY,https://web3.career/3d-animator-candy/10201,3D Animator,,vfx:video,5mo
CANDY,https://web3.career/strategic-account-director-sports-candy/10200,Strategic Account Director (Sports),$70k - $180k,executive,5mo
Cake Pte Ltd,https://web3.career/technology-controls-specialist-cakedefi/10199,Technology Controls Specialist,,,5mo
Cake Pte Ltd,https://web3.career/head-of-digital-performance-and-marketing-cakedefi/10198,Head of Digital Performance and Marketing,$70k - $158k,executive:marketing:non tech,5mo
Cake Pte Ltd,https://web3.career/treasury-and-fp-a-manager-cakedefi/10197,Treasury and FP&A Manager,,,5mo
Cake Pte Ltd,https://web3.career/business-development-manager-cakedefi/10196,Business Development Manager,$26k - $140k,sales:non tech,5mo
Brave,https://web3.career/ph-d-intern-brave/10195,Ph.D. intern,,intern:entry level,5mo
Brave,https://web3.career/machine-learning-researcher-brave/10194,Machine Learning Researcher,,machine learning:javascript:java,5mo
Brave,https://web3.career/product-marketing-manager-brave/10193,Product Marketing Manager,$45k - $130k,marketing:non tech,5mo
Brave,https://web3.career/sr-software-engineer-ruby-on-rails-brave/10192,Sr. Software Engineer - Ruby on Rails,$32k - $113k,dev:ruby:senior:react:ethereum,5mo
Brave,https://web3.career/sr-software-engineer-full-stack-brave/10191,Sr. Software Engineer - Full Stack,$70k - $180k,dev:full stack:senior:ethereum:javascript,5mo
Brave,https://web3.career/sr-software-engineer-android-ui-brave/10190,"Sr. Software Engineer, Android UI",,android:mobile:dev:senior:design,5mo
Brave,https://web3.career/sr-ios-engineer-wallets-brave/10189,Sr. iOS Engineer - Wallets,$51k - $109k,dev:ios:mobile:senior:javascript,5mo
Brave,https://web3.career/senior-android-engineer-brave/10188,Senior Android Engineer,,android:mobile:dev:senior:java,5mo
Brave,https://web3.career/quality-assurance-engineer-brave/10187,Quality Assurance Engineer,$60k - $180k,dev,5mo
Brave,https://web3.career/machine-learning-engineer-brave/10186,Machine Learning Engineer,,dev:machine learning:javascript:java,5mo
Brave,https://web3.career/integration-engineer-brave/10185,Integration Engineer,$54k - $140k,dev:ethereum:javascript:ruby:rust,5mo
Brave,https://web3.career/blockchain-engineer-brave/10184,Blockchain Engineer,$50k - $130k,dev:blockchain:react:solana:ethereum,5mo
Brave,https://web3.career/ads-product-manager-brave/10183,Ads Product Manager,$69k - $160k,product manager:non tech,5mo
Boson Protocol,https://web3.career/technical-talent-application-bosonprotocol/10182,Technical Talent Application,,recruiter:non tech:react:solidity:ethereum,5mo
Boson Protocol,https://web3.career/senior-blockchain-engineer-bosonprotocol/10181,Senior Blockchain Engineer,$80k - $200k,dev:senior:blockchain:ethereum,5mo
Boson Protocol,https://web3.career/global-director-of-ecommerce-bosonprotocol/10180,Global Director of eCommerce,$56k - $400k,executive:ecommerce,5mo
Blue Cube Services,https://web3.career/kyc-analyst-contractor-cryptocurrency-bluecubeservices/10179,KYC Analyst (Contractor) - Cryptocurrency,,kyc:analyst:crypto,5mo
Blue Cube Services,https://web3.career/kyc-analyst-contractor-cryptocurrency-bluecubeservices/10178,KYC Analyst (Contractor) - Cryptocurrency,,kyc:analyst:crypto,5mo
