Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Binance,https://web3.career/senior-php-developer-binance/7381,Senior PHP Developer,,dev:php:senior:java,6mo
Kraken Digital Asset Exchange,https://web3.career/senior-product-manager-kraken/7380,Senior Product Manager,$80k - $150k,product manager:non tech:senior:remote,6mo
WOO Network,https://web3.career/backend-engineer-python-woonetwork/7379,Backend Engineer - Python,,backend:dev:python:solana,6mo
Parity Technologies,https://web3.career/travel-and-events-lead-m-f-d-parity/7375,Travel and Events Lead (m/f/d),$95k - $200k,lead:remote,6mo
Bitpanda,https://web3.career/senior-talent-acquisition-partner-f-m-d-tech-bitpanda/7373,Senior Talent Acquisition Partner (f/m/d) - Tech,$40k - $70k,senior:recruiter:non tech,6mo
Parity Technologies,https://web3.career/operations-team-assistant-m-f-d-parity/7368,Operations Team Assistant (m/f/d),$80k - $110k,operations:remote,6mo
Protocol Labs,https://web3.career/assistant-controller-protocol/7361,Assistant Controller,,finance:legal:remote,6mo
Binance,https://web3.career/project-manager-tech-binance/7358,Project manager (Tech),$50k - $150k,project manager:non tech,6mo
Rheinmetall,https://web3.career/case-camp-2-0-rheinmetall/1346,Case Camp 2.0,$33k - $160k,remote:java,6mo
Scalable Path,https://web3.career/solidity-smart-contract-developer-with-nft-experience-scalable-path/1345,Solidity Smart Contract Developer with NFT Experience,$90k - $180k,remote:dev:nft:smart contract:solidity,6mo
DFINITY,https://web3.career/markets-analyst-intern-institutional-partnerships-dfinity/1342,"Markets Analyst Intern, Institutional Partnerships",,sales:non tech:analyst:intern:entry level,6mo
Nifty's Inc.,https://web3.career/ux-designer-niftysinc/1338,UX Designer,$50k - $150k,design:non tech,6mo
NEAR,https://web3.career/communications-marketing-manager-near/1337,Communications & Marketing Manager,$45k - $130k,marketing:non tech,6mo
Islands,https://web3.career/community-manager-islands/1330,Community Manager,$40k - $101k,community manager:non tech:remote,6mo
Coin Metrics,https://web3.career/risk-management-compliance-lead-coinmetrics/1329,RISK MANAGEMENT & COMPLIANCE LEAD,,compliance:lead,6mo
Messari,https://web3.career/governance-analyst-messari/1328,Governance Analyst,$45k - $120k,analyst:remote,6mo
Chainalysis,https://web3.career/senior-engineer-data-chainalysis/1327,"Senior Engineer, Data",$80k - $200k,dev:senior:ethereum:node:scala,6mo
Kraken Digital Asset Exchange,https://web3.career/senior-technical-recruiter-kraken/1324,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:remote,6mo
Chainalysis,https://web3.career/sales-engineer-chainalysis/1323,Sales Engineer,,dev:sales:non tech,6mo
Chainalysis,https://web3.career/enterprise-account-executive-east-chainalysis/1322,"Enterprise Account Executive, East",$70k - $180k,executive,6mo
Kraken Digital Asset Exchange,https://web3.career/lead-technical-recruiter-kraken/1321,Lead Technical Recruiter,$40k - $70k,lead:recruiter:non tech:remote,6mo
CoinGecko,https://web3.career/senior-digital-marketing-associate-l3-coin-gecko/1320,Senior Digital Marketing Associate (L3),$46k - $109k,marketing:non tech:senior,6mo
Okcoin,https://web3.career/growth-marketing-manager-okcoin/1319,Growth Marketing Manager,$48k - $120k,marketing:non tech:ethereum,6mo
Amun 21Shares,https://web3.career/vp-compliance-amun/1318,"VP, Compliance",,compliance:executive,6mo
Chainlink Labs,https://web3.career/compensation-and-benefits-manager-chainlink/1316,Compensation and Benefits Manager,$56k - $160k,remote,6mo
Chainlink Labs,https://web3.career/head-of-solutions-chainlink/1315,Head of Solutions,$79k - $200k,executive:remote,6mo
Bitfury,https://web3.career/product-lead-crystal-blockchain-bitfury/1313,Product Lead (Crystal Blockchain),$35k - $160k,lead:blockchain,6mo
GSR,https://web3.career/defi-full-stack-engineer-python-java-c-gsr/1312,DeFi - Full Stack Engineer (Python/Java/C++),$100k - $150k,c:c plus plus:dev:full stack:java,6mo
Symbiont,https://web3.career/applications-engineer-symbiont/1309,Applications Engineer,$57k - $160k,dev:react,6mo
Binance,https://web3.career/technical-recruiter-talent-acquisition-specialist-mid-senior-lead-binance/1307,Technical Recruiter / Talent Acquisition Specialist (Mid/Senior/Lead),$40k - $70k,lead:recruiter:non tech:senior,6mo
Anchorage Digital,https://web3.career/university-recruiting-lead-anchorage/1305,University Recruiting Lead,$40k - $70k,lead:recruiter:non tech,6mo
Binance,https://web3.career/technical-recruiter-talent-acquisition-specialist-mid-senior-lead-binance/1304,Technical Recruiter / Talent Acquisition Specialist (Mid/Senior/Lead),$40k - $70k,lead:recruiter:non tech:senior,6mo
Paradigm,https://web3.career/software-engineer-smart-contracts-paradigm-xyz/1303,Software Engineer - Smart Contracts,$70k - $200k,dev:smart contract,6mo
Kraken Digital Asset Exchange,https://web3.career/brand-designer-typographer-kraken/1302,Brand Designer - Typographer,,marketing:non tech:design:remote,6mo
Binance,https://web3.career/project-manager-business-binance/1301,Project Manager (Business),$50k - $150k,project manager:non tech,6mo
