Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Terraform Labs,https://web3.career/smart-contract-engineer-nebula-terra/25261,Remote,Smart Contract Engineer (Nebula),$80k - $200k,dev:smart contract:remote:ethereum:rust,22d
Binance,https://web3.career/customer-service-representative-english-binance/25260,"Salvador,
Brazil",Customer Service Representative (English),$40k - $80k,customer support,22d
Uniswap Labs,https://web3.career/product-designer-uniswaplabs/25259,"New York,
United States",Product Designer,$80k - $150k,design:non tech:ethereum,22d
Voodoo,https://web3.career/senior-back-end-software-engineer-wizz-voodoo/25258,"Paris,
France",Senior Back-end Software Engineer - Wizz,$70k - $200k,backend:dev:senior,22d
Ledger,https://web3.career/sales-operations-intern-ledger/25257,"Paris,
France",Sales Operations Intern,,intern:entry level:operations:sales:non tech,22d
Kriptomat OU,https://web3.career/marketing-partnerships-associate-kriptomat/25256,00 Europe RS,Marketing Partnerships Associate,$100k - $200k,sales:non tech:marketing,22d
Ledger,https://web3.career/junior-financial-analyst-infrastructure-operations-ledger/25255,"Paris,
France",Junior Financial Analyst (Infrastructure & Operations),,analyst:finance:junior:entry level:operations,22d
Galaxy Digital Services,https://web3.career/vp-corporate-security-galaxydigitalservices/25254,,"VP, Corporate Security",$95k - $250k,security:executive,22d
Mythical Games,https://web3.career/director-product-management-platform-mythicalgames/25252,"Los Angeles,
United States",Director Product Management - Platform,$70k - $180k,executive,22d
Polygon,https://web3.career/senior-protocol-engineer-polygon/25250,Any,Senior Protocol Engineer,$85k - $200k,dev:senior:remote:ethereum,22d
Consensys,https://web3.career/senior-people-partner-uk-remote-consensys/25249,Remote,Senior People Partner - UK Remote,$80k - $160k,remote:senior:ethereum,22d
Consensys,https://web3.career/people-partner-united-kingdom-remote-consensys/25248,England,People Partner - United Kingdom Remote,$60k - $145k,remote:ethereum,22d
Harmony,https://web3.career/senior-test-infrastructure-engineer-harmony/25247,Remote,Senior Test Infrastructure Engineer,$85k - $200k,dev:senior:remote:ethereum:nft,22d
Digitrade Fintech Pte Ltd,https://web3.career/web-designer-6-months-contract-digitrade-fintech-pte-ltd/25246,Remote,Web Designer (6 months Contract),,crypto:finance:design:finance:contracting,22d
Digitrade Fintech Pte Ltd,https://web3.career/growth-marketing-intern-program-digitrade-fintech-pte-ltd/25245,Remote,Growth Marketing Intern Program,,marketing:crypto:finance:intern:contracting,22d
Digitrade Fintech Pte Ltd,https://web3.career/content-marketing-manager-6-months-contract-digitrade-fintech-pte-ltd/25244,Remote,Content Marketing Manager (6 months contract),,marketing:crypto:finance:contracting,22d
Digitrade Fintech Pte Ltd,https://web3.career/associate-product-marketing-manager-digitrade-fintech-pte-ltd/25243,Remote,Associate Product Marketing Manager,,marketing:non tech:remote:product manager:crypto,22d
Nifty's Inc.,https://web3.career/junior-graphic-designer-niftysinc/25241,"Miami,
United States",Junior Graphic Designer,,design:non tech:junior:entry level:nft,22d
Consensys,https://web3.career/senior-people-partner-gtm-east-coast-usa-consensys/25240,Remote,"Senior People Partner - GTM (East Coast, USA)",$80k - $160k,senior:remote:ethereum,22d
Consensys,https://web3.career/senior-hr-business-partner-united-states-pacific-time-zone-consensys/25239,Remote,Senior HR Business Partner - United States Pacific Time Zone,,hr:non tech:senior:remote:ethereum,22d
Consensys,https://web3.career/people-operations-payroll-coordinator-uk-ire-consensys/25238,England,People Operations & Payroll Coordinator UK/IRE,,operations:accounting:ethereum,22d
Fair.xyz,https://web3.career/senior-full-stack-engineer-fairxyz/25237,"London,
United Kingdom",Senior Full-Stack Engineer,$70k - $180k,dev:full stack:senior:nft,22d
Energi Core Limited,https://web3.career/community-moderator-energicorelimited/25236,"Frankfurt,
Germany",Community Moderator,$40k - $101k,community manager:non tech:remote:ethereum,22d
BitGo,https://web3.career/director-of-design-bitgo/25235,"Palo Alto,
United States",Director of Design,,design:non tech:executive,22d
Chain,https://web3.career/it-support-specialist-chain/25234,Remote,IT Support Specialist,$40k - $80k,customer support:remote,23d
Chain,https://web3.career/chain-core-marketing-lead-chain/25233,Remote,Chain Core Marketing Lead,$50k - $120k,lead:marketing:non tech:remote,23d
Newton,https://web3.career/security-developer-canada-wide-remote-newton/25232,"Toronto,
Canada",Security Developer - Canada Wide - Remote,$95k - $250k,remote:dev:security,23d
CoinFlip,https://web3.career/service-desk-technician-coinflip/25231,"Chicago,
United States",Service Desk Technician,$40k - $80k,customer support,23d
CoinFlip,https://web3.career/data-analytics-and-reporting-intern-coinflip/25230,"Chicago,
United States",Data Analytics and Reporting Intern,$124k - $2k,stats:intern:entry level,23d
Worldcoin,https://web3.career/data-scientist-worldcoinorg/25229,"Berlin,
Germany",Data Scientist,$50k - $135k,data science:remote,23d
BlockFi,https://web3.career/senior-associate-financial-reporting-strategy-transformation-blockfi/25227,"New York,
United States","Senior Associate, Financial Reporting & Strategy Transformation",$50k - $150k,finance:senior,23d
BlockFi,https://web3.career/client-support-team-lead-blockfi/25226,"New York,
United States",Client Support Team Lead,$25k - $35k,lead:customer support,23d
Blockchain.com,https://web3.career/latin-america-product-manager-blockchain/25225,"Buenos Aires,
Argentina",Latin America - Product Manager,$69k - $160k,product manager:non tech,23d
BitGo,https://web3.career/firmware-engineer-bitgo/25224,"Palo Alto,
United States",Firmware Engineer,$56k - $150k,dev:javascript,23d
Chain,https://web3.career/seo-manager-chain/25223,Remote,SEO Manager,,seo:non tech:remote,23d
