Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Polygon,https://web3.career/senior-golang-engineer-polygon/25647,APAC,Senior Golang Engineer,$65k - $150k,dev:golang:senior:ethereum:node,16d
Paro.io,https://web3.career/crypto-accounting-specialist-remote-project-paro-io/25646,"Austin,
United States",Crypto Accounting Specialist - Remote Project,$11k - $25k,remote:accounting:crypto,16d
Localcoin,https://web3.career/marketing-specialist-content-social-media-localcoin/25645,"Toronto,
Canada","Marketing Specialist, Content & Social Media",$28k - $100k,marketing:non tech:social media,16d
Binance,https://web3.career/qa-engineer-functional-testing-binance/25644,South East Asia,QA Engineer (Functional Testing),$50k - $150k,dev:quality assurance,16d
Binance,https://web3.career/events-manager-bnb-chain-binance/25643,Remote,Events Manager (BNB Chain),,events manager:non tech:remote,16d
Polysynth,https://web3.career/quant-trader-polysynth/25642,India,Quant Trader,$40k - $80k,trader,16d
Messari,https://web3.career/software-engineer-defi-metrics-messari/25641,"New York,
United States","Software Engineer, DeFi Metrics",$90k - $150k,dev:defi:golang,16d
Metrika Inc.,https://web3.career/senior-product-designer-metrika/25640,MA Cambridge US,Senior Product Designer,$60k - $120k,design:non tech:senior,17d
8VC,https://web3.career/founding-senior-software-engineer-web3-company-in-stealth-8vc/25639,Canada,Founding Senior Software Engineer - Web3 Company in Stealth,$0k,dev:senior:solana:ethereum:nft,17d
Directive Games Limited,https://web3.career/video-producer-directivegameslimited/25638,"Reykjavik,
Iceland",VIDEO PRODUCER,$32k - $50k,video,17d
CoinDesk & TradeBlock Opportunities,https://web3.career/index-research-analyst-coindesk/25637,"New York,
United States",Index Research Analyst,$40k - $120k,analyst,17d
Directive Games Limited,https://web3.career/game-designer-directivegameslimited/25636,"Reykjavik,
Iceland",GAME DESIGNER,$26k - $150k,design:non tech:game dev,17d
Palmswap,https://web3.career/senior-frontend-developer-palmswap/22986,Remote,Senior Frontend Developer,$120k - $140k,web3js:vue:dev:front end:remote,2mo
Messari,https://web3.career/research-analyst-protocol-services-messari/25634,"New York,
United States","Research Analyst, Protocol Services",$40k - $120k,analyst,17d
Virtually Human Studio,https://web3.career/scrum-master-remote-vhslab/25633,APAC,Scrum Master (Remote),,remote:scrum:nft,17d
Bitfinex,https://web3.career/remote-aml-investigator-m-f-vn-bitfinex/25631,HN Hà Nội VN,Remote AML Investigator (m/f) (VN),$56k - $160k,remote,17d
Polysynth,https://web3.career/defi-product-manager-polysynth/25630,India,DeFi Product Manager,$50k - $100k,product manager:non tech:defi,17d
daopanel,https://web3.career/frontend-developer-react-typescript-daopanel/25628,Remote,"Frontend Developer (React, TypeScript)",$50k - $150k,dev:front end:javascript:react:remote,17d
Pilot.com,https://web3.career/solution-architect-crypto-pilothq/25627,"Nashville,
United States","Solution Architect, Crypto",,architecture:crypto,17d
Origins Analytics,https://web3.career/business-development-lead-origins-analytics/25626,Remote,Business Development Lead,,sales:non tech:lead:remote:nft,17d
Genies,https://web3.career/data-scientist-growth-monetization-genies/25625,"Los Angeles,
United States","Data Scientist, Growth & Monetization",,data science:marketing:non tech:nft,17d
ATTN,https://web3.career/test-engineering-lead-attn/25624,"Jakarta,
Indonesia",Test Engineering Lead,$60k - $200k,lead,17d
Binance,https://web3.career/affiliate-influencer-marketing-coordinator-binance/25623,Remote,Affiliate/ Influencer Marketing Coordinator,$25k - $120k,marketing:non tech:remote,17d
Tatum,https://web3.career/senior-backend-developer-for-blockchain-platform-tatum/25622,United Kingdom,Senior Backend Developer for Blockchain platform,$70k - $200k,backend:dev:senior:blockchain:javascript,17d
MetaFans Media LLC,https://web3.career/head-of-blockchain-metafansmediallc/25621,"Miami,
United States",Head of Blockchain,$80k - $225k,executive:blockchain:nft,17d
MetaFans Media LLC,https://web3.career/solidity-developer-metafansmediallc/25620,"Miami,
United States",Solidity Developer,$80k - $160k,dev:solidity:nft,17d
Satoshis Games,https://web3.career/3d-animator-satoshis-games/25619,Spain,3D Animator,$24k - $32k,vfx:video,17d
Web3 Labs,https://web3.career/golang-developer-web3labs/25618,United Kingdom,Golang Developer,$65k - $100k,dev:golang:solidity:java:rust,17d
Aave,https://web3.career/senior-react-native-developer-toronto-canada-aave/25617,"Toronto,
Canada",Senior React Native Developer (Toronto Canada),$65k - $200k,dev:react native:mobile:javascript:react,17d
Awesome Company Worldwide,https://web3.career/awesome-software-engineer-needed-blockchain-ar-web3-gaming-video-social-sharing-awesome-company-worldwide/25616,United States,AWESOME Software Engineer needed- Blockchain - AR - Web3 -Gaming- video social sharing,$0k,dev:game dev:video:blockchain,17d
Herbal Way,https://web3.career/blockchain-developer-devops-herbal-way/25615,United States,Blockchain Developer/DevOps,$0k,dev:devops:blockchain,17d
Zignaly,https://web3.career/customer-support-agent-zignaly/25614,Remote,Customer Support Agent,,customer support:remote:solana:ethereum,17d
GetBit.Money,https://web3.career/software-engineer-web3-0-lightning-network-getbit-money/25613,India,Software Engineer - Web3.0 - Lightning Network,$26k - $52k,dev:react:react native:node,17d
FluidNFT Labs,https://web3.career/web3-senior-full-stack-engineer-contract-fluidnft/25612,Remote,Web3 Senior Full-Stack Engineer (contract),$120k - $200k,dev:full stack:senior:remote:solidity,17d
FluidNFT Labs,https://web3.career/web3-senior-front-end-engineer-contract-fluidnft/25611,Remote,Web3 Senior Front-End Engineer (contract),$120k - $200k,dev:front end:senior:remote:solidity,17d
