Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Okcoin,https://web3.career/content-designer-okcoin/21479,Content Designer,$50k - $150k,design:non tech,2mo
0x,https://web3.career/engineering-manager-platform-0x/21478,Engineering Manager — Platform,$79k - $158k,executive:ethereum,2mo
Foundry,https://web3.career/product-manager-erp-systems-foundrydigital/21477,Product Manager - ERP Systems,$69k - $160k,product manager:non tech,2mo
Solana Labs,https://web3.career/software-engineer-android-mobile-solana/21476,Software Engineer - Android/Mobile,,android:mobile:dev:solana:java,2mo
BlockFi,https://web3.career/associate-general-counsel-product-blockfi/21474,"Associate General Counsel, Product",$24k - $140k,legal,2mo
Ripple,https://web3.career/sr-product-manager-sender-experience-ripple/21472,"Sr. Product Manager, Sender Experience",$80k - $150k,product manager:non tech:senior,2mo
Crypto.com,https://web3.career/talent-acquisition-hr-project-manager-hrbp-crypto-com/21471,Talent Acquisition/HR Project Manager (HRBP),,hr:non tech:project manager:recruiter,2mo
Crypto.com,https://web3.career/director-compliance-systems-automation-redundancy-hong-kong-crypto-com/21470,"Director, Compliance Systems Automation & Redundancy, Hong Kong",,compliance:executive,2mo
Ripple,https://web3.career/payments-sr-product-manager-receiver-ripple/21469,"Payments Sr Product Manager, Receiver",$69k - $160k,product manager:non tech,2mo
Concept Art House,https://web3.career/product-marketing-manager-conceptarthouse/21468,Product Marketing Manager,$55k - $140k,marketing:non tech:nft:remote,2mo
Silo Finance,https://web3.career/senior-solidity-engineer-silo-finance/21467,Senior Solidity Engineer,$80k - $200k,dev:senior:solidity:ethereum,2mo
BitGo,https://web3.career/senior-technical-writer-bitgo/21466,Senior Technical Writer,,senior:analyst:node,2mo
BitGo,https://web3.career/senior-technical-writer-bitgo/21465,Senior Technical Writer,,senior:analyst:node,2mo
Chainalysis,https://web3.career/senior-engineer-developer-productivity-chainalysis/21463,"Senior Engineer, Developer Productivity",$80k - $200k,dev:senior,2mo
Crypto.com,https://web3.career/kyc-training-team-lead-crypto-com/21462,KYC Training Team Lead,,kyc:lead:education,2mo
Crypto.com,https://web3.career/growth-creative-lead-global-fintech-startup-crypto-com/21461,Growth Creative Lead - Global Fintech Startup,$50k - $100k,finance:marketing:non tech:lead,2mo
SupraOracles,https://web3.career/senior-backend-engineer-node-js-aws-supraoracles/21460,Senior Backend Engineer (Node.js/AWS),$65k - $150k,javascript:backend:dev:node:senior,2mo
SuperRare Labs,https://web3.career/software-development-engineer-in-test-superrarelabs/21459,Software Development Engineer in Test,$80k - $180k,quality assurance:dev:solidity:ethereum:nft,2mo
Finoa GmbH,https://web3.career/expansion-manager-m-f-div-finoa/21458,Expansion Manager (m/f/div),$56k - $160k,remote,2mo
Ripple,https://web3.career/payments-sr-product-manager-receiver-integrations-ripple/21457,"Payments Sr Product Manager, Receiver Integrations",$69k - $160k,product manager:non tech,2mo
Okcoin,https://web3.career/analyst-compliance-monitoring-and-licensing-okcoin/21456,Analyst Compliance Monitoring and Licensing,,compliance:analyst:remote,2mo
Boson Protocol,https://web3.career/recruitment-coordinator-bosonprotocol/21455,Recruitment Coordinator,$51k - $70k,recruiter:non tech:nft,2mo
Cypherock Wallet,https://web3.career/blockchain-researcher-intern-cypherock-wallet/21454,Blockchain Researcher Intern,$9k - $31k,intern:entry level:blockchain,2mo
Tangany,https://web3.career/cloud-and-software-security-engineer-tangany/21453,Cloud and Software Security Engineer,,cloud:dev:security:ethereum:remote,2mo
nft42,https://web3.career/senior-product-manager-nft42/21452,Senior Product Manager,$80k - $150k,product manager:non tech:senior:nft,2mo
Crypto Finance AG,https://web3.career/product-manager-staking-cryptofinanceag/21451,Product Manager - Staking,$69k - $160k,product manager:non tech,2mo
Crypto.com,https://web3.career/social-content-coordinator-us-crypto-com/21450,Social Content Coordinator (US),$55k - $150k,nft,2mo
Floating Point Group,https://web3.career/product-manager-internship-fpg/21449,Product Manager Internship,,intern:entry level:product manager:non tech,2mo
Peccala,https://web3.career/community-manager-crypto-investing-startup-fully-remote-peccala/21448,Community Manager - Crypto Investing Startup (Fully Remote),$35k - $40k,remote:community manager:non tech:crypto,2mo
Tatum,https://web3.career/blockchain-support-engineer-tatum-6/21447,Blockchain Support Engineer,,dev:customer support:blockchain:node,2mo
Okcoin,https://web3.career/aml-compliance-analyst-okcoin/21446,AML Compliance Analyst,,compliance:analyst:remote,2mo
MoonPay,https://web3.career/director-of-product-infrastructure-and-payments-moonpay/21445,Director of Product - Infrastructure and Payments,$135k - $170k,executive:product manager:non tech,2mo
MoonPay,https://web3.career/director-of-product-customer-experience-moonpay/21444,Director of Product - Customer Experience,,customer support:executive:product manager:non tech,2mo
Celo Foundation,https://web3.career/developer-community-manager-node-operator-community-celofoundation/21443,Developer Community Manager (Node Operator Community),,community manager:non tech:dev:javascript:node,2mo
Crypto.com,https://web3.career/blockchain-security-engineer-backend-javascript-malta-crypto-com/21441,Blockchain Security Engineer (Backend) - Javascript (Malta),$65k - $150k,backend:dev:javascript:security:blockchain,2mo
