Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Consensys,https://web3.career/protocol-debugging-engineer-consensys/14077,Protocol & Debugging Engineer,$63k - $160k,dev:solidity:ethereum:javascript:node,4mo
Consensys,https://web3.career/lead-software-engineer-consensys/14076,Lead Software Engineer,$100k - $200k,dev:lead:solidity:ethereum:golang,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14075,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14074,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14073,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14072,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14071,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-remote-consensys/14070,Data Engineer (Remote),,remote:data science:dev:ethereum:java,4mo
Consensys,https://web3.career/data-engineer-dataorg-consensys/14069,Data Engineer (DataOrg),,data science:dev:ethereum:remote,4mo
Consensys,https://web3.career/business-operations-analyst-consensys/14068,Business Operations Analyst,,analyst:operations:ethereum:remote,4mo
Wirex Limited,https://web3.career/senior-android-developer-wirexlimited/14067,Senior Android Developer,,android:mobile:dev:senior,4mo
GSR,https://web3.career/enterprise-technology-it-engineer-associate-singapore-gsr/14062,"Enterprise Technology IT Engineer, Associate - Singapore",$60k - $180k,dev,4mo
GSR,https://web3.career/enterprise-technology-it-engineer-associate-new-york-gsr/14061,"Enterprise Technology IT Engineer, Associate - New York",$60k - $180k,dev,4mo
Mythical Games,https://web3.career/data-engineer-mythicalgames/14060,Data Engineer,$70k - $160k,data science:dev,4mo
Qubit9 GmbH,https://web3.career/general-management-entrepreneurship-resident-m-w-d-cloud-blockchain-qubit9/14059,General Management & Entrepreneurship Resident (m/w/d) - Cloud & Blockchain,$109k - $13k,cloud:blockchain,4mo
Binance,https://web3.career/dispute-analyst-p2p-europe-binance/14057,Dispute Analyst - P2P (Europe),$45k - $120k,analyst:remote,4mo
Binance,https://web3.career/data-analyst-nft-binance/14056,Data Analyst（NFT）,$36k - $120k,analyst:data science:nft:remote,4mo
Baserank,https://web3.career/junior-quantitative-crypto-asset-analyst-baserank/14054,Junior Quantitative Crypto Asset Analyst,$10k - $13k,analyst:junior:entry level:crypto:ethereum,4mo
Linum Labs,https://web3.career/blockchain-community-manager-south-africa-linum-labs/14053,Blockchain Community Manager South Africa,$15k - $30k,community manager:non tech:blockchain:ethereum,4mo
Nuri,https://web3.career/working-student-intern-fp-a-visiting-analyst-nuri/14052,Working Student/Intern FP&A Visiting Analyst,$20k - $30k,analyst:intern:entry level:remote,4mo
Kraken Digital Asset Exchange,https://web3.career/business-admin-for-the-director-of-compliance-kraken/14051,Business Admin for the Director of Compliance,,compliance:executive,4mo
Sygnum Bank AG,https://web3.career/security-operations-engineer-zurich-or-lausanne-sygnum/14050,"Security Operations Engineer, Zurich or Lausanne",,dev:operations:security:ethereum,4mo
Autonomous,https://web3.career/constant-growth-fresher-autonomous/14047,[Constant] Growth Fresher,$55k - $140k,marketing:non tech:nft:remote,4mo
SwissBorg,https://web3.career/senior-product-designer-remote-swissborg/14046,Senior Product Designer (Remote),$50k - $135k,remote:design:non tech:senior,4mo
ModSquad,https://web3.career/content-moderation-nft-related-discord-community-modsquad/14044,Content Moderation - NFT-related Discord Community,$35k - $101k,community manager:non tech:nft:remote,4mo
MetaMask,https://web3.career/sr-blockchain-engineer-truffle-developer-experience-tooling-metamask/14043,Sr. Blockchain Engineer (Truffle Developer Experience & Tooling),$80k - $200k,dev:senior:blockchain:solidity:ethereum,4mo
Binance,https://web3.career/java-developer-europe-binance/14042,Java Developer (Europe),$35k - $180k,dev:java:remote,4mo
Next Big Thing AG,https://web3.career/junior-social-media-manager-f-m-x-nextbigthing/14041,Junior Social Media Manager (f/m/x),,junior:entry level:social media:non tech:remote,4mo
Pocket Worlds,https://web3.career/frontend-developer-pocketworlds/14038,Frontend Developer,$50k - $144k,dev:front end:react:nft:javascript,4mo
Web3 Foundation,https://web3.career/security-operations-engineer-web3foundation/14035,Security Operations Engineer,,dev:operations:security:rust,4mo
Cake Pte Ltd,https://web3.career/product-manager-cakedefi/14034,Product Manager,$69k - $160k,product manager:non tech,4mo
Sygnum Bank AG,https://web3.career/senior-project-manager-sygnum/14033,Senior Project Manager,,project manager:non tech:senior:ethereum,4mo
Immutable,https://web3.career/talent-acquisition-lead-people-ops-finance-immutable/14032,"Talent Acquisition Lead (People, Ops & Finance)",,finance:lead:recruiter:non tech:ethereum,4mo
Chainlink Labs,https://web3.career/strategic-programs-manager-chainlink/14031,Strategic Programs Manager,$56k - $160k,remote,4mo
Ondo Finance,https://web3.career/senior-front-end-engineer-web3-ondofinance/14028,Senior Front-End Engineer (Web3),$70k - $190k,dev:front end:senior:remote,4mo
