Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Bitkub,https://web3.career/mobile-developer-bitkub/1065,"Bangkok,
Thailand",Mobile Developer,$120k - $200k,dev:mobile:react:react native:javascript,7mo
Lukka,https://web3.career/senior-lead-backend-engineer-lukka/1064,Remote,Senior Lead Backend Engineer,$100k - $180k,backend:dev:lead:senior:java,7mo
Uphold,https://web3.career/developer-evangelist-uphold/1063,"Porto,
Portugal",Developer Evangelist,$60k - $180k,dev,7mo
EZ Blockchain,https://web3.career/sales-development-representative-sdr-ezblockchain/1062,"Houston,
United States",Sales Development Representative (SDR),$26k - $140k,sales:non tech,7mo
Uphold,https://web3.career/manager-of-strategic-projects-compliance-uphold/1061,"New York,
United States","Manager of Strategic Projects, Compliance",,compliance,7mo
Kryha,https://web3.career/frontend-developer-mid-level-kryhaio/1060,"Amsterdam,
Netherlands",Frontend Developer (Mid-level),$50k - $144k,dev:front end:react:javascript:node,7mo
Uphold,https://web3.career/data-engineer-uphold/1058,"Porto,
Portugal",Data Engineer,$70k - $160k,data science:dev,7mo
Uphold,https://web3.career/customer-service-crm-manager-uphold/1057,"Porto,
Portugal",Customer Service CRM Manager,,crm:customer support,7mo
Nuvoola,https://web3.career/project-manager-nuvoola/1056,Remote,Project Manager,$56k - $150k,project manager:non tech:remote,7mo
Uphold,https://web3.career/engineering-manager-equities-uphold/1055,"New York,
United States","Engineering Manager, Equities",$70k - $180k,executive,7mo
Uphold,https://web3.career/svp-accounting-finance-uphold/1054,"New York,
United States","SVP, Accounting & Finance",$120k - $150k,accounting:finance,7mo
Uphold,https://web3.career/backend-engineer-uphold/1053,"New York,
United States",Backend Engineer,$65k - $150k,backend:dev:javascript:node:golang,7mo
Uphold,https://web3.career/digital-marketing-manager-uk-eu-uphold/1052,"London,
United Kingdom","Digital Marketing Manager, UK & EU",$45k - $130k,marketing:non tech,7mo
Celsius,https://web3.career/full-stack-developer-react-nodejs-celsius/1051,"Tel Aviv,
Israel","Full Stack Developer, React & NodeJS",$65k - $180k,dev:full stack:javascript:node:react,7mo
Celsius,https://web3.career/manual-qa-celsius/1050,Tampa,Manual QA,$62k - $150k,quality assurance,7mo
Celsius,https://web3.career/head-of-compliance-risk-manager-celsius/1049,United States,Head of Compliance & Risk Manager,,compliance:executive,7mo
Celsius,https://web3.career/devops-engineer-celsius/1048,United States,DevOps Engineer,$70k - $180k,devops:dev,7mo
Firefly Software,https://web3.career/blockchain-software-developer-fireflysoftware/1047,"Vancouver,
Canada",Blockchain Software Developer,$50k - $120k,dev:blockchain:javascript:java,7mo
BC Technology (Hong Kong) Limited,https://web3.career/senior-manager-account-management-saas-crypto-brokerage-exchange-bcgroup/1046,"London,
United Kingdom","Senior Manager, Account Management (SaaS / Crypto Brokerage Exchange)",,saas:senior:crypto,7mo
Uphold,https://web3.career/senior-network-engineer-uphold/1045,"Chicago,
United States",Senior Network Engineer,$80k - $200k,dev:senior,7mo
Uphold,https://web3.career/frontend-engineer-uphold/1044,"Porto,
Portugal",Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,7mo
Syntropy,https://web3.career/blockchain-partnerships-development-specialist-syntropynet/1043,Remote,Blockchain Partnerships Development Specialist,$78k - $150k,sales:non tech:blockchain:remote,7mo
Uphold,https://web3.career/quality-assurance-analyst-uphold/1042,"Porto,
Portugal",Quality Assurance Analyst,$40k - $120k,analyst,7mo
Celsius,https://web3.career/vp-of-product-celsius/1041,"Belgrade,
Serbia",VP of Product,$135k - $170k,product manager:non tech:executive,7mo
BC Technology (Hong Kong) Limited,https://web3.career/sales-trader-electronic-trading-digital-assets-crypto-bcgroup/1040,"Singapore,
Singapore",Sales Trader - Electronic Trading (Digital Assets / Crypto ),$40k - $140k,finance:sales:non tech:trader:crypto,7mo
Keeper Solutions,https://web3.career/software-developer-go-keepertechnologysolutions/1039,Remote,Software Developer - GO,$22k - $150k,dev:golang:remote,7mo
Uphold,https://web3.career/digital-marketing-manager-uk-eu-uphold/1038,"London,
United Kingdom",Digital Marketing Manager UK/EU,$45k - $130k,marketing:non tech,7mo
Uphold,https://web3.career/senior-fraud-team-lead-uphold/1037,United States,Senior Fraud Team Lead,,security:lead:senior,7mo
Uphold,https://web3.career/product-manager-compliance-uphold/1036,"Porto,
Portugal","Product Manager, Compliance",,compliance:product manager:non tech,7mo
Uphold,https://web3.career/fraud-analyst-uphold/1035,Tampa,Fraud Analyst,$60k - $185k,analyst:security,7mo
Celsius,https://web3.career/director-sr-director-payments-celsius/1034,"Austin,
United States","Director/Sr. Director, Payments",$46k - $110k,executive:senior,7mo
Celsius,https://web3.career/customer-service-quality-assurance-specialist-celsius/1033,"Las Vegas,
United States",Customer Service Quality Assurance Specialist,$40k - $80k,customer support,7mo
Uphold,https://web3.career/junior-backend-engineer-connectivity-uphold/1032,"Dublin,
Ireland",Junior Backend Engineer - Connectivity,$28k - $39k,backend:dev:junior:entry level:react,7mo
Uphold,https://web3.career/sr-frontend-engineer-uphold/1031,"Chicago,
United States",Sr. Frontend Engineer,$70k - $190k,dev:front end:senior:react:node,7mo
Uphold,https://web3.career/head-of-crm-uphold/1030,"London,
United Kingdom",Head of CRM,,executive:crm,7mo
