Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Ignite,https://web3.career/principal-product-designer-ignite/26468,"Berlin,
Germany",Principal Product Designer,,design:non tech:executive,7d
Vauld,https://web3.career/compliance-associate-vauld/26467,"Bengaluru,
India",Compliance Associate,,compliance,7d
Polygon,https://web3.career/partnership-development-music-talent-polygon/26466,India,Partnership Development - Music & Talent,,sales:non tech:music:recruiter:ethereum,7d
Polygon,https://web3.career/partnership-development-film-animation-polygon/26465,India,Partnership Development - Film & Animation,,sales:non tech:video:ethereum:nft,7d
Polygon,https://web3.career/partnership-development-arts-fashion-polygon/26464,India,Partnership Development - Arts & Fashion,$29k - $43k,sales:non tech:ethereum:nft,7d
Polygon,https://web3.career/lead-edao-studios-polygon/26463,Any,Lead - eDAO Studios,$56k - $118k,lead:remote:ethereum:nft,7d
Polygon,https://web3.career/community-manager-polygon/26462,India,Community Manager,$15k - $30k,community manager:non tech:ethereum:nft,7d
Binance,https://web3.career/government-affairs-manager-south-africa-binance/26461,"Cape Town,
South Africa",Government Affairs Manager - South Africa,$50k - $150k,,7d
DEPT®,https://web3.career/internship-creative-tech-dept/26460,"Amsterdam,
Netherlands",Internship Creative Tech,,intern:entry level:nft,7d
Binance,https://web3.career/community-marketing-manager-armenia-binance/26459,"Yerevan,
Armenia",Community & Marketing Manager - Armenia,$45k - $150k,community manager:non tech:marketing,7d
Binance,https://web3.career/senior-business-development-manager-pay-binance/26458,"Lagos,
Nigeria",Senior Business Development Manager - Pay,$50k - $150k,sales:non tech:senior,7d
Binance,https://web3.career/manager-senior-associate-capital-markets-industry-research-binance/26457,"London,
United Kingdom","Manager/Senior Associate, Capital Markets & Industry Research",$79k - $200k,senior,7d
Phantom,https://web3.career/communications-lead-social-and-community-phantom45/26456,"San Francisco,
United States","Communications Lead, Social and Community",$40k - $65k,community manager:non tech:lead:solana:ethereum,7d
Wirex Limited,https://web3.career/administrative-specialist-wirexlimited/26455,Poland,Administrative Specialist,$50k - $150k,,7d
Protocol Labs,https://web3.career/financial-analyst-protocollabs/26454,,Financial Analyst,,analyst:finance,7d
Binance,https://web3.career/growth-and-community-manager-binance/26453,Remote,Growth and Community Manager,$45k - $150k,community manager:non tech:marketing:remote,7d
Binance,https://web3.career/java-engineer-risk-binance/26452,"Dubai,
United Arab Emirates",Java Engineer - Risk,$33k - $140k,dev:java,7d
Binance,https://web3.career/hr-business-partner-latam-binance/26451,Latin America,HR Business Partner (LATAM),$60k - $150k,hr:non tech,7d
Binance,https://web3.career/community-marketing-manager-uzbekistan-binance/26450,"Tashkent,
Uzbekistan",Community & Marketing Manager - Uzbekistan,$45k - $150k,community manager:non tech:marketing,7d
Oasis Protocol Foundation,https://web3.career/blockchain-community-manager-french-community-oasisnetwork/26449,"Paris,
France",Blockchain Community Manager (French community),$15k - $80k,community manager:non tech:blockchain,7d
Cake Pte Ltd,https://web3.career/software-engineer-c-cakedefi/26448,"Singapore,
Singapore",Software Engineer (C++),$100k - $255k,c:c plus plus:dev:node:rust,7d
Boson Protocol,https://web3.career/head-of-operations-bosonprotocol/26447,"London,
United Kingdom",Head of Operations,$150k - $230k,executive:operations,7d
MoonPay,https://web3.career/founding-engineer-solana-moonpay/26446,United Kingdom,Founding Engineer (Solana),$80k - $180k,dev:solana:nft:rust,7d
Shift Markets,https://web3.career/enterprise-sales-crypto-defi-web3-remote-shift-markets/26445,United States,Enterprise Sales - Crypto/DeFi/Web3 - remote,$0k,remote:sales:non tech:crypto:defi,7d
IOVLabs,https://web3.career/data-analyst-iovlabs/26444,Remote,Data Analyst,$45k - $120k,analyst:data science:remote,7d
Polygon,https://web3.career/business-development-lead-polygon/26443,Any,Business Development Lead,,sales:non tech:lead:remote:ethereum,7d
Binance,https://web3.career/investment-manager-legal-relations-binance/26442,"Singapore,
Singapore",Investment Manager (Legal Relations),,finance:legal,7d
Protocol Labs,https://web3.career/technical-program-manager-security-protocollabs/26441,,"Technical Program Manager, Security",$95k - $250k,executive:security,7d
Consensys,https://web3.career/technical-product-marketing-lead-developer-tools-consensys/26440,Remote,"Technical Product Marketing Lead, Developer Tools",,dev:lead:marketing:non tech:remote,7d
Consensys,https://web3.career/tech-lead-accounts-and-key-management-consensys/26439,Remote,Tech Lead (Accounts and Key Management),$96k - $118k,lead:tech lead:remote:react:react native,7d
Binance,https://web3.career/community-marketing-manager-azerbaijan-binance/26437,"Baku,
Azerbaijan",Community & Marketing Manager - Azerbaijan,$45k - $150k,community manager:non tech:marketing,7d
Asset Living,https://web3.career/service-technician-solana-apartments-assetliving/26436,"Mesa,
United States",Service Technician - Solana Apartments,$50k - $150k,,7d
Blockstream,https://web3.career/freelance-video-editor-animator-motion-graphics-blockstream/26435,"Los Angeles,
United States",Freelance Video Editor/Animator - Motion Graphics,,video:vfx:non tech,7d
Sperax,https://web3.career/aws-engineer-sperax/26434,"New York,
United States",AWS Engineer,$60k - $180k,dev,7d
Sperax,https://web3.career/operations-manager-remote-sperax/26433,"Bengaluru,
India",Operations Manager (Remote),$80k - $110k,remote:operations,7d
