Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Okcoin,https://web3.career/sr-manager-risk-portfolio-okcoin/10607,"Sr. Manager, Risk Portfolio",$50k - $150k,finance:senior,5mo
Okcoin,https://web3.career/risk-generalist-okcoin/10606,Risk Generalist,,,5mo
Okcoin,https://web3.career/data-analyst-finance-compliance-okcoin/10605,"Data Analyst, Finance & Compliance",,compliance:analyst:data science:finance,5mo
Okcoin,https://web3.career/analyst-risk-strategy-okcoin/10604,Analyst - Risk Strategy,$40k - $120k,analyst,5mo
Okcoin,https://web3.career/analyst-learning-development-and-quality-assurance-okcoin/10603,"Analyst, Learning Development and Quality Assurance",$40k - $120k,analyst,5mo
Okcoin,https://web3.career/institutional-business-development-manager-london-okcoin/10602,Institutional Business Development Manager - London,$26k - $140k,sales:non tech,5mo
Okcoin,https://web3.career/institutional-business-development-manager-okcoin/10601,Institutional Business Development Manager,$26k - $140k,sales:non tech,5mo
Okcoin,https://web3.career/head-of-sales-australia-okcoin/10600,Head of Sales - Australia,$40k - $150k,executive:sales:non tech,5mo
nft42,https://web3.career/senior-software-engineer-saas-nft42/10599,Senior Software Engineer (SaaS),,dev:saas:senior:ethereum:nft,5mo
nft42,https://web3.career/devops-engineer-nft42/10598,DevOps Engineer,$95k - $145k,devops:dev:ethereum:nft:remote,5mo
nft42,https://web3.career/customer-service-representative-nft42/10597,Customer Service Representative,,customer support:nft:remote,5mo
NEAR,https://web3.career/product-manager-ecosystem-experience-near/10596,Product Manager: Ecosystem Experience,$115k - $175k,product manager:non tech:remote,5mo
NEAR,https://web3.career/head-of-product-near/10595,Head of Product,$135k - $170k,executive:product manager:non tech:remote,5mo
NEAR,https://web3.career/portfolio-operations-manager-near/10594,Portfolio Operations Manager,$55k - $200k,finance:operations,5mo
NEAR,https://web3.career/grants-program-technical-reviewer-near/10593,Grants Program Technical Reviewer,,,5mo
NEAR,https://web3.career/software-engineer-full-stack-dev-rel-near/10592,"Software Engineer, Full Stack / Dev Rel (全栈开发工程师)",$108k - $220k,dev:full stack:rust,5mo
NEAR,https://web3.career/software-engineer-developer-platform-near/10591,"Software Engineer, Developer Platform",$60k - $120k,dev:web3js:ethereum:javascript:rust,5mo
NEAR,https://web3.career/site-reliability-engineer-production-engineer-near/10590,Site Reliability Engineer / Production Engineer,$150k - $200k,dev:sys admin:rust,5mo
NEAR,https://web3.career/senior-engineer-full-stack-nodejs-wallet-near/10589,"Senior Engineer, Full-stack - NodeJS / Wallet",$65k - $180k,dev:full stack:javascript:node:senior,5mo
NEAR,https://web3.career/senior-engineer-full-stack-developer-relations-near/10588,"Senior Engineer, Full Stack / Developer Relations",,customer support:dev:full stack:senior:web3js,5mo
NEAR,https://web3.career/infrastructure-engineering-manager-near/10587,Infrastructure Engineering Manager,,executive:rust,5mo
NEAR,https://web3.career/front-end-engineer-developer-console-near/10586,"Front-End Engineer, Developer Console",$50k - $144k,dev:front end:react:javascript:nextjs,5mo
NEAR,https://web3.career/engineering-manager-node-experience-near/10585,"Engineering Manager, Node Experience",$200k - $400k,executive:javascript:node,5mo
NEAR,https://web3.career/engineering-manager-developer-console-near/10584,"Engineering Manager, Developer Console",$70k - $300k,executive:dev,5mo
NEAR,https://web3.career/engineering-manager-core-tools-near/10583,"Engineering Manager, Core Tools",,executive:javascript:rust,5mo
NEAR,https://web3.career/engineering-manager-contract-runtime-near/10582,"Engineering Manager, Contract Runtime",,executive:ethereum:rust,5mo
NEAR,https://web3.career/engineer-contract-runtime-near/10581,"Engineer, Contract Runtime",$75k - $190k,dev:rust,5mo
NEAR,https://web3.career/core-engineer-near/10580,Core Engineer,$70k - $180k,dev:rust:remote,5mo
NEAR,https://web3.career/technical-writer-education-near/10579,Technical Writer - Education,,education:analyst,5mo
NEAR,https://web3.career/software-engineer-education-near/10578,Software Engineer - Education,,education:dev:solana:ethereum:javascript,5mo
NEAR,https://web3.career/project-manager-near/10577,Project Manager,$50k - $150k,project manager:non tech,5mo
NEAR,https://web3.career/instructor-education-near/10576,"Instructor, Education",,education:teaching,5mo
NEAR,https://web3.career/head-of-developer-relations-near/10575,Head of Developer Relations,,executive:customer support:dev,5mo
NEAR,https://web3.career/director-of-investments-owc-near/10574,Director of Investments - OWC,$70k - $180k,executive,5mo
NEAR,https://web3.career/director-of-finance-owc-near/10573,Director of Finance - OWC,$90k - $200k,executive:finance,5mo
