Company Name,Job Link,Job Title,Salary Range,Tags,Posted Before
Nodle,https://web3.career/copywriter-nodle/25500,Copywriter,$25k - $30k,copywriting:remote,13d
Braintrust,https://web3.career/digital-project-manager-ecommerce-brand-remote-braintrust/25498,Digital Project Manager - Ecommerce Brand [Remote],$25k - $120k,remote:marketing:non tech:ecommerce:project manager,13d
Stardust Cards Corporation,https://web3.career/recruiting-coordinator-stardust/25497,Recruiting Coordinator,,recruiter:non tech:remote:nft,13d
Polygon,https://web3.career/director-business-development-emea-polygon/25496,Director - Business Development - EMEA,$40k - $150k,sales:non tech:executive:ethereum,13d
BlockFi,https://web3.career/global-operations-analyst-apac-blockfi/25495,"Global Operations Analyst, APAC",,analyst:operations,13d
InterSwap,https://web3.career/senior-solidity-engineer-interswap-1/25493,Senior Solidity Engineer,$83k - $120k,dev:senior:solidity:solana:ethereum,13d
Foxit Software,https://web3.career/lead-cloud-solution-architect-m-w-d-emea-foxitsoftware/25492,Lead Cloud Solution Architect (m/w/d) EMEA,,architecture:cloud:lead,13d
Cerebellum Network,https://web3.career/full-stack-front-end-engineer-cere-network/25491,Full-Stack/Front-End Engineer,$65k - $150k,dev:front end:full stack:remote:react,13d
Polygon,https://web3.career/sr-business-development-manager-games-polygon-studios-remote-polygon/25490,Sr. Business Development Manager - Games - Polygon Studios (Remote),$29k - $108k,remote:sales:non tech:senior:ethereum,13d
Crypto.com,https://web3.career/sales-operation-manager-apac-crypto-com/25489,Sales Operation Manager - APAC,$26k - $140k,sales:non tech,13d
MetaFans Media LLC,https://web3.career/head-of-blockchain-metafansmediallc/25488,Head of Blockchain,$80k - $225k,executive:blockchain:nft,13d
Crypto.com,https://web3.career/director-corporate-development-global-fintech-startup-crypto-com/25487,"Director, Corporate Development - Global Fintech Startup",$90k - $200k,executive:finance,13d
Paro.io,https://web3.career/crypto-bookkeeper-remote-projects-paro-io/25486,Crypto Bookkeeper - Remote Projects,$11k - $25k,remote:accounting:crypto,13d
Crypto.com,https://web3.career/data-security-architect-sg-crypto-com/25485,Data Security Architect (SG),,architecture:security:nft,13d
Crypto.com,https://web3.career/junior-account-manager-latam-seeking-graduates-or-entry-level-applicant-crypto-com/25484,Junior Account Manager - LATAM - Seeking Graduates or Entry level Applicant,,account manager:junior:entry level,13d
WalletConnect,https://web3.career/web3-technical-writer-walletconnect/25483,Web3 Technical Writer,$45k - $120k,analyst:remote,13d
Windranger,https://web3.career/senior-solidity-engineer-windranger/25482,Senior Solidity Engineer,$80k - $200k,dev:senior:solidity:ethereum:javascript,13d
Sismo,https://web3.career/smart-contract-engineer-solidity-circom-sismo/25481,"Smart Contract Engineer - Solidity, Circom",$72k - $200k,dev:smart contract:solidity:ethereum:nft,13d
Consensys,https://web3.career/talent-operations-8-month-contract-consensys/25480,Talent Operations - 8 Month Contract,,operations:recruiter:non tech:ethereum,13d
Consensys,https://web3.career/internal-event-manager-consensys/25479,Internal Event Manager,,events manager:non tech:remote:ethereum,13d
Monday Capital,https://web3.career/frontend-engineer-with-web3-experience-monday-capital/25478,Frontend Engineer with Web3 experience,$90k - $120k,dev:front end:react:solidity:javascript,13d
Joint NFT,https://web3.career/frontend-web3-intern-joint-nft/25477,Frontend Web3 Intern,$124k - $2k,front end:intern:entry level:react:solidity,13d
reNFT,https://web3.career/head-of-developer-experience-renft/25476,Head of Developer Experience,$70k - $140k,executive:dev:solidity:nft:javascript,13d
reNFT,https://web3.career/backend-developer-renft/25475,Backend Developer,$50k - $100k,backend:dev:nft:rust,13d
MetaMask,https://web3.career/director-of-engineering-consensys-nft-business-metamask/25474,Director of Engineering (ConsenSys NFT Business),$50k - $158k,executive:nft:ethereum,13d
MetaMask,https://web3.career/devops-lead-manager-codefi-metamask/25473,DevOps Lead/Manager (Codefi),,devops:lead:ethereum:javascript:golang,13d
MetaMask,https://web3.career/devops-engineer-protocols-metamask/25472,DevOps Engineer - Protocols,$95k - $145k,devops:dev:ethereum,13d
Nansen.ai,https://web3.career/graphic-designer-nansen/25471,Graphic Designer,$50k - $135k,design:non tech:remote,13d
Nansen.ai,https://web3.career/communications-lead-nansen/25470,Communications Lead,$60k - $200k,lead,13d
RECUR,https://web3.career/senior-designer-sports-recur/25469,Senior Designer - Sports,$60k - $120k,design:non tech:senior:ethereum,13d
Nansen.ai,https://web3.career/brand-marketing-lead-nansen/25468,Brand Marketing Lead,$50k - $120k,marketing:non tech:lead,13d
Decentral Games,https://web3.career/data-analyst-decentralgames/25467,Data Analyst,$36k - $120k,analyst:data science:nft:java,13d
Decentral Games,https://web3.career/data-engineer-decentralgames/25466,Data Engineer,$70k - $150k,data science:dev:nft:java,13d
Decentral Games,https://web3.career/qa-engineer-decentralgames/25465,QA Engineer,$65k - $150k,dev:quality assurance:ethereum:nft,13d
Decentral Games,https://web3.career/qa-tester-decentralgames/25464,QA Tester,$65k - $110k,quality assurance:ethereum:nft,13d
