Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
2511,Pocket Network,20050000,11-50,
2514,Composable Finance,39000000,11-50,24
2530,Flexa,20100000,1-10,4
2531,BAYZ,4000000,,
2556,Autograph,205000000,51-100,87
2561,Bitfarms,250002687,101-250,
2563,Patientory,7200000,1-10,
2589,SEBA Bank,246850606,101-250,
2596,Splinterlands,7300000,11-50,4
2598,Phantom,118000000,11-50,35
2619,Luna Foundation Guard,1000000000,,
2636,Kadena,14975000,11-50,1
2647,Hashdex,25451529,11-50,1
2677,Digital Asset,307200000,101-250,
2697,BreederDAO,10000000,11-50,1
2703,Banger,11622825,11-50,
2748,Biconomy,22000000,1-10,6
2769,Lemon Cash,17350000,51-100,23
2786,Loco,52343970,11-50,
2788,Exodus,60000000,,2
2840,Axelar,63750000,11-50,11
2866,DIA,15000000,11-50,
2902,Loopring,45000000,1-10,
2937,Polemos,16000000,11-50,
2943,Qurable,2000000,11-50,
2959,LATOKEN,18000000,11-50,34
2977,CoinRoutes,34000000,11-50,
3011,Flippy,1205000,11-50,
3031,Zilliqa,1000000,51-100,12
3060,Ethereum Push Notification Service,11510000,1-10,19
3082,BitOasis,30000000,11-50,3
3142,Pintu,41000000,1-10,
3167,Transak,2960000,11-50,4
3295,Cosmos Network,17000000,51-100,11
3296,WISeKey,256639757,101-250,
3298,Kraken,136100000,1001-5000,291
3360,Ramp,63942437,51-100,12
3375,CoreChain Technologies,5450000,1-10,
3376,Mercuryo,10459501,51-100,
3379,tZERO,144000000,51-100,
3403,QuickNode,40800000,11-50,12
3453,Framework Ventures,,11-50,6
3463,ULTRA,5000000,11-50,3
3491,AscendEX,50000000,,
3493,Bit2Me,35924248,101-250,
3505,DappRadar,7316931,11-50,3
3542,Origin Protocol,38155763,11-50,8
3556,Compound,33200000,11-50,11
3556,Compound,33200000,11-50,8
3578,Binance,25000000,251-500,742
3582,Paradigm,,11-50,107
3588,ShapeShift,12790845,51-100,8
3630,Sky Mavis,311000000,11-50,28
3633,Greenidge,148500000,11-50,
3640,Casa,6100000,11-50,8
3641,EthSign,12650000,1-10,
3697,Cion Digital,12000000,11-50,
3722,Coinbase Ventures,,,
3736,Home Lending Pal,4465000,11-50,
3749,Finblox,3900000,1-10,1
3770,Colendi,32500000,11-50,
3794,ZenLedger,10900000,11-50,1
3809,Genesis Digital Assets,556000000,11-50,
3817,MetaLend,5000000,,
3829,WOO Network,52000000,51-100,106
3855,HIVE Blockchain,286440404,11-50,
3887,Argo Blockchain,119626180,11-50,
3894,MakersPlace,34000000,1-10,13
3897,Axoni,89774999,101-250,40
3901,Ocean Protocol,28100000,51-100,
3904,Earnity,15000000,11-50,
3910,Agoric,36000000,1-10,4
3920,Chronicled,36300000,101-250,15
3929,FTX Exchange,1828690000,101-250,
3930,Upshot,29500000,1-10,10
3933,Uphold,74900000,101-250,36
3961,Ren,34000000,11-50,2
3961,Ren,34000000,11-50,1
3963,Radix,6000000,11-50,
3964,Rally,57000000,11-50,1
3967,IMVU,64000000,251-500,
3968,Marathon Digital,620000000,,
3989,Injective Protocol,17100000,11-50,13
4029,Gensyn,7489776,,
4038,1Konto,3800000,1-10,
4043,Theta Labs,113000000,11-50,
4167,Compute North,419828422,101-250,
4231,Oasis Labs,45000000,11-50,5
4231,Oasis Labs,45000000,11-50,3
4243,Offchain Labs,123700000,11-50,26
4245,Fei Protocol,19000000,1-10,7
4245,Fei Protocol,19000000,1-10,1
4246,ChromaWay,10000000,11-50,
4300,Chainalysis,366600000,251-500,436
4308,Stader Labs,16500000,1-10,9
4336,SpiderOak,18179822,11-50,
4362,Ponto,20000000,11-50,10
4363,Cardano Foundation,62246134,11-50,
4371,Wintermute Trading,23800000,1-10,1
4379,Babel Finance,40000000,101-250,
4385,CoinSmart,14901232,11-50,
4387,TrustToken,34200000,11-50,
4432,Mysten Labs,36000000,11-50,29
4448,Korbit,82085373,101-250,5
4467,Yellow Card,16500000,101-250,18
4504,Indicio.tech,3500000,11-50,
4515,Fireblocks,1039000000,101-250,122
4532,Wilder World,36000000,1-10,3
4547,VALR,54900000,1-10,12
4560,HUB Security,55000000,501-1000,
4562,double jump.tokyo,25334475,11-50,
4568,Pluto Digital,44576937,11-50,
4573,Guardian Link,12000000,251-500,
4591,Nuri,49174004,101-250,112
4591,Tokensoft,4000000,,2
4614,TeraWulf,200000000,101-250,
4628,Paxos,538477868,101-250,104
4628,Fractional,23944987,11-50,35
4652,Currency.com,8000000,101-250,
4707,AlphaPoint,23150000,51-100,18
4708,PDAX | Philippine Digital Asset Exchange,63598548,11-50,
4742,Project Galaxy,10000000,1-10,
4748,Newton.co,34721408,11-50,
4761,Bitski,23310000,1-10,33
4801,Milo,23000000,11-50,
4820,Chiliz,66000000,101-250,
4838,3Commas,3000000,11-50,
4839,Moralis,13434721,11-50,
4855,Index Coop,9950000,51-100,
4856,Arrington XRP Capital,,1-10,
4901,Bitcoin Suisse AG,46254182,101-250,
4940,Torch.AI,30000000,51-100,
