Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
15167,AirSwap,36000000,11-50,
15262,Sentient.io,5156449,11-50,
15268,Swapin.com,3700000,11-50,
15281,CapiTrade Launchpad,20000000,1-10,
15329,SYNQA,40000000,11-50,
15330,Minterest,12020000,11-50,
15391,Layer1,52100000,11-50,
15398,Vertalo,7750000,11-50,4
15453,XDEFI Wallet,7200000,11-50,
15510,Nestcoin,6450000,11-50,11
15526,Gripnr,2500000,,
15529,Everyrealm,66250000,11-50,11
15530,MomentRanks,5900000,11-50,10
15532,Fiat Republic,3499643,1-10,
15544,CryptoTrader.Tax,6000000,1-10,
15584,VideoCoin Network,55000000,11-50,
15628,ObEN,23700000,11-50,
15632,edureka!,2000000,251-500,
15650,Cipher Mining,425000000,,
15683,Certora,7200000,11-50,
15687,Mycelium,11500000,11-50,37
15728,V-Art,425000,11-50,
15791,Flowty,4500000,1-10,
15798,BearTax,3200000,1-10,
15814,GoSats,700000,1-10,
15820,Wallex Bank & Statutory Trust,12340513,51-100,
15832,HyperLinq,1400000,11-50,
15832,Award Pool,2538502,1-10,
15888,bdeo,7405530,11-50,
15927,Cega,4300000,1-10,4
15942,Slope Finance,10300000,11-50,
16009,CyberHash,20000000,51-100,
16066,Young Platform,5517782,11-50,
16128,Layer3,2500000,1-10,
16140,YAS Digital Limited,5580000,11-50,
16157,Kyber Network,60350000,11-50,1
16188,Hedge,3700000,1-10,7
16188,Hedge,3700000,1-10,1
16211,XREX Inc.,24000000,51-100,1
16236,Risk Harbor,3500000,1-10,
16242,Primex Finance,5700000,11-50,
16252,Hatchfi,120000,1-10,
16260,Genesis Block,2055000,1-10,
16284,Hashed,,11-50,
16334,Defy,5500000,1-10,
16342,Zenus Bank,13930000,11-50,
16347,Mode,24609333,51-100,
16354,cheqd,3300000,1-10,1
16395,Unstoppable Finance,5209183,11-50,
16401,Voltz Labs,6000000,1-10,7
16408,Polymarket,4000000,1-10,2
16418,burstIQ,5875000,1-10,
16436,Blockparty,1000000,11-50,
16444,Anoma,6750000,11-50,3
16492,Hacken,2500000,51-100,
16518,WealthPark,40445232,11-50,
16565,Crypto Unicorns,26000000,1-10,
16582,Polkastarter,875000,1-10,
16658,Art Blocks,6000000,,
16667,UFIN,21000000,51-100,
16685,Akash Network,2000000,11-50,16
16693,Deep Discovery,6250000,1-10,
16705,Rvvup,9600000,11-50,
16769,TravelX,10000000,101-250,
16772,Torum,2571250,11-50,
16777,Geenee AR,11400000,11-50,
16816,Metaco,20010000,11-50,
16820,RateS,11500000,11-50,
16831,1World Online,29010104,11-50,
16896,Showtime,7600000,,12
16905,Octopus Network,8000000,11-50,
16912,Sequoir,1700000,1-10,
16928,Metaverse AI,6020000,51-100,
16936,Sapien,5000000,11-50,1
16960,Trisolaris,4500000,11-50,
16997,Router Protocol,4580000,1-10,1
17012,Efficient Frontier,2000000,11-50,
17072,Filebase,2000000,1-10,4
17094,Yoello,10800000,11-50,
17097,StarSharks,4900000,,
17112,NFTically,500000,11-50,10
17114,TradeIX,16000000,51-100,
17181,Sepior,17101129,11-50,
17181,XMargin,18164973,1-10,
17196,Blockware Solutions,2000000,1-10,
17236,Radicle,12000000,,
17268,BIT Mining Limited,70000000,251-500,
17277,Assembly,118000000,101-250,
17318,Immunefi,5500000,11-50,15
17328,Semiotic AI,60356000,1-10,
17366,TBCASoft,25000000,11-50,
17378,Graph Ventures,,1-10,
17381,Lyra Finance,3300000,1-10,
17440,Salad Ventures,15500000,101-250,1
17445,Blockchain.com,490000000,501-1000,268
17461,Mango Markets,70100000,,
17519,Veem,100250000,101-250,22
17534,ORIGYN Foundation,20000000,11-50,
17538,Arcane Crypto,6000000,11-50,
17564,Solscan,4000000,,
17595,B3i,22691038,11-50,
17626,SUN ZU Lab,1625283,1-10,
17657,Blinking,2524893,11-50,
17661,Trade Republic,995500000,501-1000,1
17731,Lucidity,16233567,11-50,
17733,Opolis,2553610,11-50,
17748,WingRiders,4500000,,
17772,Superblocks,856869,1-10,
17778,Soluna,3475000,1-10,
17828,Blockchain Intelligence Group,15447722,1-10,
17836,Doxa Holdings,2200000,11-50,
17843,Guild of Guardians,5300000,,
17844,Globacap,16600000,51-100,
17864,Athena Bitcoin,6304879,11-50,
17871,BENQI Finance,6000000,1-10,
17938,CHAMPtitles,18500000,11-50,
17952,Cybavo,4000000,11-50,
17967,Solend,32500000,,7
18057,CanYa,13500000,11-50,
18065,Alven,,11-50,
18089,Avalanche,,,
18120,ICONIUM,5716376,1-10,1
18162,Bluzelle,22300000,11-50,
18162,Keyrock,6111531,11-50,3
18166,Ex Populus,8500000,11-50,8
18200,Kaleido,255997,11-50,3
18242,Aura Network,2500000,251-500,
18267,peaq,3922715,11-50,37
18289,Node Capital,300000,1-10,
18291,Cyber,6700000,1-10,1
18297,Bitcoin Well,3917629,11-50,
18336,Ripio Credit Network,37000000,101-250,
18348,Oxygen.org,40200000,11-50,
18379,MovoCash,9000000,11-50,
18389,ShipChain,30000000,11-50,
18392,Liqi Digital Assets,5525144,51-100,
18436,Angle Protocol,5000000,,
18453,FlyCoin,33000000,251-500,
18520,Pontoro,6200000,1-10,2
18520,Pontoro,6200000,1-10,1
18541,deBridge Finance,5500000,1-10,
18544,Gear Technologies.,12000000,11-50,
18560,Lithium Finance,5000000,1-10,
18567,Prysm,3000000,1-10,2
18581,Digihost,66208241,,
18612,Draper Goren Holm,3000000,1-10,
18631,Bonifii,12750000,1-10,
18686,Dacoco,2000000,11-50,
18697,IndexZoo,2000000,1-10,
18705,NGRAVE,6450000,1-10,1
18706,AdHash,1340000,11-50,
18768,Komainu,25000000,11-50,
18801,Taurus Group SA,10945146,1-10,19
18804,iExec,12000000,11-50,
18823,4ARTechnologies AG,46000000,11-50,
18841,Cashaa,5000000,11-50,
18854,Bitbond,13195348,11-50,
18860,StreamingFast,63034272,11-50,
18885,SubQuery,10800000,11-50,1
18895,OneOneDay,2300000,11-50,
18978,Meow,5000000,,
18991,CryptoQuant,3256000,11-50,
19010,Poolin,10000000,51-100,
19038,Dogecoin,30000,1-10,
19076,Filament,22575232,1-10,
19082,we.trade,6637342,11-50,
19097,Proof of Impact,2300000,11-50,
19138,Kandola,450000,1-10,
19146,Social Good Foundation Inc.,14200000,11-50,
19190,Omniex,7500000,11-50,
19191,DFX Finance,5000000,1-10,
19201,Tezos,1000,10001-NaN,
19207,Basis,133000000,1-10,
19207,Hyype,3500000,1-10,
19245,Enso Finance,5000000,11-50,2
19261,WAVE BL,15100000,11-50,
19279,Fast Break Labs,6000000,11-50,
19292,MetaMask,,501-1000,133
19294,Stably Corporation,7225104,11-50,
19305,Agrotoken,5000000,11-50,
19320,AERGO,30000000,101-250,
19325,skew,6955000,11-50,
19347,Redefine-crypto,14000000,11-50,
19386,NAOS Finance,5100000,,
19414,Stake Technologies,12390377,1-10,
19449,Blockport,17337222,11-50,
19471,MyCointainer,6000000,11-50,
19495,CrowdForce,4000000,11-50,
19511,Hodlnaut,100000,11-50,8
19517,Rokfin,2120000,1-10,
19521,Nebeus,6272879,1-10,
19536,Nuo,3250000,11-50,
19538,Qtum,17000000,11-50,
19576,Centrality,95000000,51-100,
19633,Badger DAO,21000000,,
19644,Electroneum,40000000,11-50,
19661,Bitfy,2857677,11-50,
19686,Zero Hash,169850000,51-100,63
19692,TaxBit,235750000,101-250,84
19697,Beta Finance,5750000,1-10,
19702,PlayTreks,802199,11-50,
19721,Stex,5000000,11-50,
19747,Fluree,7480000,11-50,1
19771,GAMEE,4237332,11-50,
19772,Fluence Labs,9000000,1-10,
19804,Ovex,4000000,11-50,
19824,RealFevr,6524631,11-50,
19870,Cryptio,1200000,1-10,
19875,ICRYPEX,10000000,11-50,
19898,Trustology,8000000,11-50,
19963,Nexus Mutual,2959216,1-10,
19979,Ape Board,1200000,,
19984,NFTGo,6750000,11-50,2
19985,Aion,22000000,51-100,
19989,nft42,3660000,11-50,15
20014,Bitdeer Group,12000000,251-500,
20018,WhiteMatrix,15645290,,
20022,BlueYard Capital,,1-10,
20035,Atani,6950000,11-50,
20045,Kirobo,7200000,1-10,
20089,Adhara,14000000,11-50,
20098,Topl,4350000,11-50,1
20111,Syn City,8000000,,
20122,MyCrypto,4000000,11-50,1
20129,BasicBlock,4545000,11-50,
20185,Metaforo,4000000,1-10,
20191,Elite Mining,2109300,11-50,
20211,InsurAce Protocol,4000000,11-50,
20218,Vice Industry Token,22000000,11-50,
20289,Telos,8000000,11-50,
20308,Jassby,7900000,11-50,
20355,BlocPal International Inc.,15635115,101-250,
20375,Digital Catapult,1365266,101-250,
20380,Poolz,1000000,1-10,
20404,Snickerdoodle Labs,2400000,1-10,10
20425,LCX,8500000,51-100,3
20444,Diamond Standard,24000000,11-50,
20471,Metaverse Game Studios,10000000,11-50,3
20494,Cryptocurrencies.Ai,8000000,11-50,
20601,Borderless Capital,,1-10,
20621,MXC Foundation,26350660,11-50,
20621,Ground X,90000000,11-50,
20625,Maverick Protocol,9000000,11-50,
20633,Nested,7500000,11-50,
20660,Cindicator,15750000,11-50,
20754,Ambire,3200000,11-50,
20791,Nebula Genomics,4300000,11-50,
20795,Busha,4200000,11-50,1
20829,DigiShares,1100000,11-50,
20832,BloXroute Labs,90590000,11-50,29
20869,Eluvio,20000000,11-50,2
20896,MVL Chain,20000000,11-50,
20909,gumi Cryptos Capital (gCC),,1-10,
20911,Vinter,4501550,11-50,
20912,LayerX,27870421,11-50,
20948,BC Group,173887181,101-250,
20951,Valiu,6477000,11-50,
20953,Lootex,9000000,1-10,
20957,SheeldMarket,11080950,1-10,
20964,Holaplex,6000000,1-10,9
20972,Vibra,6000000,11-50,
20993,Async Art,2000000,1-10,12
21015,Overeality,5000000,,
21115,portto / Blocto,8820000,1-10,
21117,Nickel,22218,1-10,
21142,Jointer,12500000,11-50,
21196,Swash,19000000,1-10,1
21199,Easy Crypto,11758896,11-50,
21216,Defy Trends,2270000,11-50,2
21217,Caduceus,4000000,1-10,
21225,Colizeum,8400000,11-50,
21228,Canary Mining,15000000,1-10,
21272,EQIBank,9982901,11-50,
21274,SolarMente,2125000,11-50,
21286,Colony Lab,18500000,1-10,
21299,Acknoledger,1779475,11-50,
21332,HPOOL,433720,11-50,
21342,Dapp.com,2700000,11-50,
21360,The NAGA Group,14310970,101-250,
21369,1inch,189800000,51-100,3
21369,1inch,189800000,51-100,1
21379,Everipedia,30120000,11-50,
21381,Persistence One,3700000,11-50,
21405,Friktion Labs,5500000,,1
21412,Aventus Network Systems,20000000,11-50,
21440,DeFiner,3470000,1-10,1
21452,The Sun Exchange,11423224,11-50,
21552,Cozy Finance,2000000,1-10,3
21575,FCFL,8214293,11-50,
21631,CryptoLeague,2200000,11-50,
21671,Lemniscap,,1-10,
21693,Arcana Network,2675000,11-50,1
21709,Reach Platform,12000000,1-10,
21721,AcadArena,3727500,11-50,
21752,BigchainDB,5370000,11-50,
21755,Bitmama,751000,1-10,
21760,Everex,10500000,11-50,
