Company Name,Job Title,Tags,Posted Before
EatTheBlocks,Blockchain Developer (Create Youtube Videos),developer:engineering:pay-in-crypto:full-time:remote,28d
Ripple ,Senior Revenue and Technical Accountant,research:finance:manager:full-time,27d
Ripple ,"Applied Scientist, Liquidity (Summer 2022 Intern)",trading:research:internship:developer:engineering:phd:finance:data:full-time:entry-level,29d
Brave,Backend Engineer,remote:research:security:developer:engineering:javascript:dex:data:full-time,28d
Protocol Labs,JS IPFS and libp2p Systems Engineer,remote:research:community:engineering:phd:discord:javascript:typescript:defi:full-time,26d
Ripple ,Recruiting Coordinator (Contract),legal:operations:compliance:full-time,29d
DFINITY,Data Center Systems Technician,remote:developer:engineering:web3:data:full-time,28d
Protocol Labs,Social Media Manager - Network Goods,remote:marketing:research:community:web3:social-media:discord:manager:full-time,21d
Ripple ,Senior Project Manager,legal:project-manager:operations:security:developer:engineering:director:executive:manager:full-time,27d
Alchemy,People Ops,operations:developer:web3:compliance:nft:full-time,18d
Paradigm,Recruiting Sourcer & Researcher,remote:developer:engineering:recruiter:defi:full-time,23d
Omakasea,IT & Cloud Architecture Specialist,security:full-time:pay-in-crypto:engineering:developer,27d
Ripple ,"Senior Technical Program Manager, Database Platform",security:engineering:executive:manager:data:full-time,25d
NEAR Foundation,"Developer, Agency Partnerships",remote:security:developer:engineering:quality-assurance:full-time,18d
The Block,"Associate Director, Events",remote:marketing:research:legal:content:full-time:director:executive:finance:data,21d
Kraken Digital Asset Exchange,Talent Acquisition Manager (Tech),remote:developer:engineering:exchange:talent-acquisition:manager:data:full-time,19d
Galaxy Digital Services,Executive Assistant to Chief Marketing Officer (CMO),marketing:legal:compliance:executive:full-time,20d
Braintrust,Sr. Mobile Native iOS Swift - [Remote - US ONLY],remote:freelance:full-time:developer:engineering:remote-usa:swift,18d
CryptoPSR,"GraphQL, Javascript/Typescript, Next.js, BitQuery, Subgraph",developer:javascript:typescript:pay-in-crypto:engineering,24d
